match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_technique,pass_cross,pass_switch,pass_through_ball,pass_deflected,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
3869151,Argentina,Enzo Fernandez,Lionel Andrés Messi Cuccittini,0,38,1,"[8.0, 25.9]","[27.5, 23.4]",19.659603,-0.12750956,Low Pass,Interception,,,,,,,,,,,Regular Play
3869151,Argentina,Lionel Andrés Messi Cuccittini,Alejandro Darío Gómez,0,39,1,"[27.2, 21.5]","[30.2, 13.0]",9.013878,-1.2315037,High Pass,,,,,,,,,,,True,Regular Play
3869151,Argentina,Alejandro Darío Gómez,Marcos Javier Acuña,0,44,1,"[35.2, 10.5]","[29.1, 4.8]",8.348653,-2.3900797,Ground Pass,,,,,,,,,,,,Regular Play
3869151,Argentina,Marcos Javier Acuña,Nicolás Hernán Otamendi,0,45,1,"[26.4, 2.1]","[16.0, 17.6]",18.665745,2.1617706,Ground Pass,,,,,,,,,,,True,Regular Play
3869151,Argentina,Nicolás Hernán Otamendi,Cristian Gabriel Romero,0,47,1,"[14.1, 18.0]","[14.1, 44.5]",26.5,1.5707964,Ground Pass,,,,,,,,,,,,Regular Play
3869151,Argentina,Cristian Gabriel Romero,Nahuel Molina Lucero,0,51,1,"[15.5, 49.7]","[17.4, 71.1]",21.48418,1.4822434,Ground Pass,,,,,,,,,,,,Regular Play
3869151,Argentina,Nahuel Molina Lucero,Rodrigo Javier De Paul,0,53,1,"[17.5, 70.8]","[30.6, 73.7]",13.417153,0.21786053,Ground Pass,,,,,,,,,,,,Regular Play
3869151,Argentina,Rodrigo Javier De Paul,Julián Álvarez,0,54,1,"[31.0, 74.5]","[57.1, 74.9]",26.103065,0.015324471,Ground Pass,,,,,,,,,,,,Regular Play
3869151,Argentina,Nahuel Molina Lucero,,1,17,1,"[46.1, 71.6]","[64.8, 55.7]",24.545876,-0.70464927,High Pass,,,,,,,Incomplete,,,,,Regular Play
3869151,Argentina,Rodrigo Javier De Paul,Nahuel Molina Lucero,1,26,1,"[63.7, 80.0]","[51.7, 73.8]",13.507035,-2.6647007,Low Pass,Throw-in,,,,,,,,,,,From Throw In
3869151,Argentina,Nahuel Molina Lucero,Cristian Gabriel Romero,1,30,1,"[43.9, 71.1]","[32.5, 62.1]",14.524462,-2.4733033,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Cristian Gabriel Romero,Nicolás Hernán Otamendi,1,33,1,"[31.7, 55.7]","[27.2, 20.7]",35.2881,-1.6986662,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Nicolás Hernán Otamendi,Cristian Gabriel Romero,1,40,1,"[39.6, 21.8]","[38.8, 47.5]",25.712448,1.6019146,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Cristian Gabriel Romero,Nahuel Molina Lucero,1,43,1,"[40.9, 61.0]","[45.0, 73.8]",13.44061,1.2608099,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Nahuel Molina Lucero,Cristian Gabriel Romero,1,46,1,"[46.1, 73.0]","[31.7, 65.4]",16.282505,-2.6559706,Ground Pass,,,,,,,,,,,True,From Throw In
3869151,Argentina,Cristian Gabriel Romero,Damián Emiliano Martínez,1,49,1,"[32.9, 59.1]","[15.5, 40.7]",25.324297,-2.3282688,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Damián Emiliano Martínez,Nicolás Hernán Otamendi,1,51,1,"[15.6, 37.6]","[19.8, 18.0]",20.044949,-1.359703,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Nicolás Hernán Otamendi,Marcos Javier Acuña,1,54,1,"[25.0, 14.6]","[32.9, 0.7]",15.988121,-1.0539776,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Marcos Javier Acuña,Alexis Mac Allister,1,56,1,"[32.9, 2.1]","[34.8, 1.8]",1.9235384,-0.15660188,Low Pass,,,,,,,Incomplete,,,,,From Throw In
3869151,Argentina,Marcos Javier Acuña,Alejandro Darío Gómez,1,58,1,"[35.2, 4.0]","[43.4, 4.2]",8.202438,0.02438541,Low Pass,Recovery,,,,,,,,,,,From Throw In
3869151,Argentina,Alejandro Darío Gómez,Marcos Javier Acuña,1,59,1,"[44.2, 5.9]","[40.1, 7.8]",4.5188494,2.7076392,High Pass,,,,,,,,,,,True,From Throw In
3869151,Argentina,Marcos Javier Acuña,Alexis Mac Allister,2,0,1,"[40.1, 8.1]","[48.3, 11.9]",9.037699,0.43395337,Low Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Alexis Mac Allister,Rodrigo Javier De Paul,2,2,1,"[54.7, 22.3]","[57.7, 36.1]",14.122323,1.3567356,Ground Pass,,,,,,,,,,,True,From Throw In
3869151,Argentina,Rodrigo Javier De Paul,Nahuel Molina Lucero,2,6,1,"[53.9, 35.7]","[53.3, 37.6]",1.9924859,1.8766752,Ground Pass,,,,,,,Incomplete,,,,True,From Throw In
3869151,Argentina,Cristian Gabriel Romero,Nahuel Molina Lucero,2,7,1,"[35.2, 53.8]","[45.6, 69.2]",18.582788,0.9768236,Ground Pass,Recovery,,,,,,,,,,,From Throw In
3869151,Argentina,Nahuel Molina Lucero,Rodrigo Javier De Paul,2,10,1,"[46.4, 70.3]","[46.8, 58.6]",11.706836,-1.5366216,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Rodrigo Javier De Paul,Nicolás Hernán Otamendi,2,12,1,"[47.5, 51.9]","[41.2, 33.5]",19.44865,-1.9006767,Low Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Nicolás Hernán Otamendi,Marcos Javier Acuña,2,16,1,"[47.2, 25.3]","[51.4, 5.3]",20.436243,-1.3638041,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Marcos Javier Acuña,Alejandro Darío Gómez,2,18,1,"[55.0, 3.4]","[68.0, 3.0]",13.006152,-0.030759526,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Alejandro Darío Gómez,Enzo Fernandez,2,21,1,"[62.9, 4.0]","[50.6, 15.7]",16.975864,2.3811893,Ground Pass,,,,,,,,,,,True,From Throw In
3869151,Argentina,Enzo Fernandez,Rodrigo Javier De Paul,2,24,1,"[46.8, 22.3]","[55.2, 52.6]",31.442804,1.3003602,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Rodrigo Javier De Paul,Cristian Gabriel Romero,2,29,1,"[64.8, 64.3]","[49.8, 54.6]",17.86309,-2.5675642,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Cristian Gabriel Romero,Enzo Fernandez,2,32,1,"[50.6, 54.5]","[49.8, 46.7]",7.8409185,-1.6730031,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Enzo Fernandez,Nicolás Hernán Otamendi,2,34,1,"[49.8, 45.1]","[49.9, 23.7]",21.400234,-1.5661235,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Nicolás Hernán Otamendi,Alexis Mac Allister,2,37,1,"[52.5, 15.3]","[67.1, 16.5]",14.649232,0.082007445,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Alexis Mac Allister,Enzo Fernandez,2,38,1,"[65.6, 16.9]","[45.3, 26.2]",22.328905,2.712,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Enzo Fernandez,Nicolás Hernán Otamendi,2,45,1,"[52.5, 37.6]","[56.0, 14.6]",23.26478,-1.419781,Ground Pass,,,,,,,,,,,,From Throw In
3869151,Argentina,Nicolás Hernán Otamendi,Cristian Gabriel Romero,2,49,1,"[57.1, 16.2]","[51.0, 53.4]",37.696815,1.7333283,Ground Pass,,,,,,,,,,,,From Throw In
