match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_technique,pass_cross,pass_cut_back,pass_switch,pass_through_ball,pass_deflected,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
3869519,Argentina,Nicolás Hernán Otamendi,Alexis Mac Allister,0,6,1,"[23.3, 47.6]","[46.8, 40.3]",24.607723,-0.3011879,Low Pass,Recovery,,,,,,,,,,,,From Kick Off
3869519,Argentina,Alexis Mac Allister,Enzo Fernandez,0,59,1,"[68.7, 2.5]","[67.5, 8.3]",5.9228373,1.7748142,Ground Pass,,,,,,,,,,,,,Regular Play
3869519,Argentina,Nicolás Alejandro Tagliafico,Nicolás Hernán Otamendi,1,10,1,"[52.9, 0.1]","[35.8, 4.8]",17.734148,2.8733623,Low Pass,Throw-in,,,,,,,,,,,,From Throw In
3869519,Argentina,Nicolás Hernán Otamendi,Cristian Gabriel Romero,1,13,1,"[34.5, 6.7]","[34.5, 26.8]",20.1,1.5707964,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Cristian Gabriel Romero,Rodrigo Javier De Paul,1,19,1,"[46.2, 50.9]","[53.9, 57.7]",10.272779,0.7234087,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Rodrigo Javier De Paul,Cristian Gabriel Romero,1,21,1,"[50.2, 57.0]","[39.4, 54.0]",11.208925,-2.8706458,Ground Pass,,,,,,,,,,,,True,From Throw In
3869519,Argentina,Cristian Gabriel Romero,Nicolás Hernán Otamendi,1,22,1,"[39.4, 53.3]","[35.4, 29.9]",23.739418,-1.7401001,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Nicolás Hernán Otamendi,Nicolás Alejandro Tagliafico,1,28,1,"[48.3, 20.8]","[48.0, 5.1]",15.702866,-1.5899023,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Nicolás Alejandro Tagliafico,Nicolás Hernán Otamendi,1,31,1,"[48.0, 5.8]","[36.2, 12.4]",13.520355,2.6316206,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Nicolás Hernán Otamendi,Damián Emiliano Martínez,1,33,1,"[35.8, 10.1]","[11.6, 30.0]",31.331295,2.453393,Low Pass,,,,,,,,,,,,True,From Throw In
3869519,Argentina,Damián Emiliano Martínez,Cristian Gabriel Romero,1,36,1,"[12.1, 30.3]","[20.5, 48.8]",20.317726,1.1445762,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Cristian Gabriel Romero,Rodrigo Javier De Paul,1,44,1,"[47.8, 63.0]","[51.6, 75.8]",13.352154,1.2822089,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Rodrigo Javier De Paul,Nahuel Molina Lucero,1,46,1,"[53.3, 75.2]","[117.7, 59.5]",66.286125,-0.23912436,High Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Nahuel Molina Lucero,Julián Álvarez,1,51,1,"[117.7, 59.5]","[114.6, 0.1]",59.48084,-1.6229376,High Pass,,,True,,True,,,Out,,,,,From Throw In
3869519,Argentina,Nicolás Alejandro Tagliafico,Rodrigo Javier De Paul,2,17,1,"[84.4, 12.5]","[76.3, 12.8]",8.105554,3.1045725,High Pass,Recovery,,,,,,,,,,,True,Regular Play
3869519,Argentina,Rodrigo Javier De Paul,Nicolás Hernán Otamendi,2,19,1,"[76.2, 13.9]","[68.3, 13.8]",7.900633,-3.128935,Ground Pass,,,,,,,,,,,,,Regular Play
3869519,Argentina,Nicolás Hernán Otamendi,Leandro Daniel Paredes,2,21,1,"[64.4, 19.0]","[66.8, 19.2]",2.408319,0.08314123,Ground Pass,,,,,,,,,,,,,Regular Play
3869519,Argentina,Leandro Daniel Paredes,Cristian Gabriel Romero,2,23,1,"[66.8, 19.0]","[53.6, 37.9]",23.0532,2.1804562,Ground Pass,,,,,,,,,,,,,Regular Play
3869519,Argentina,Cristian Gabriel Romero,Lionel Andrés Messi Cuccittini,2,29,1,"[62.6, 49.4]","[77.7, 39.6]",18.001389,-0.57567656,Ground Pass,,,,,,,,Incomplete,,,,,Regular Play
3869519,Argentina,Rodrigo Javier De Paul,Cristian Gabriel Romero,2,42,1,"[47.0, 80.0]","[30.2, 72.7]",18.317478,-2.731683,Low Pass,Throw-in,,,,,,,,,,,,From Throw In
3869519,Argentina,Cristian Gabriel Romero,Leandro Daniel Paredes,2,44,1,"[32.0, 71.5]","[34.8, 57.2]",14.5715475,-1.3774384,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Leandro Daniel Paredes,Nicolás Hernán Otamendi,2,51,1,"[42.4, 41.5]","[42.4, 19.6]",21.9,-1.5707964,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Nicolás Hernán Otamendi,Enzo Fernandez,2,54,1,"[42.4, 17.4]","[51.1, 24.8]",11.421471,0.7048276,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Enzo Fernandez,Cristian Gabriel Romero,2,56,1,"[46.4, 24.8]","[44.2, 52.5]",27.787228,1.6500523,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Cristian Gabriel Romero,Rodrigo Javier De Paul,3,2,1,"[64.9, 62.4]","[66.8, 53.9]",8.7097645,-1.350882,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Rodrigo Javier De Paul,Cristian Gabriel Romero,3,4,1,"[67.3, 53.9]","[67.3, 66.1]",12.2,1.5707964,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Cristian Gabriel Romero,Rodrigo Javier De Paul,3,7,1,"[69.6, 65.8]","[71.8, 54.6]",11.414026,-1.3768371,Ground Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Rodrigo Javier De Paul,Nicolás Alejandro Tagliafico,3,9,1,"[73.4, 54.0]","[114.2, 24.7]",50.230766,-0.62279516,High Pass,,Through Ball,,,,True,,Incomplete,,,,,From Throw In
3869519,Argentina,Cristian Gabriel Romero,,3,33,1,"[2.0, 76.3]","[5.4, 76.2]",3.4014702,-0.029403288,Ground Pass,,,,,,,,Incomplete,,,,True,Regular Play
3869519,Argentina,Nahuel Molina Lucero,Lionel Andrés Messi Cuccittini,3,55,1,"[4.5, 80.0]","[14.6, 75.8]",10.938464,-0.39408788,Low Pass,Throw-in,,,,,,,,,,,,From Throw In
3869519,Argentina,Lionel Andrés Messi Cuccittini,Nahuel Molina Lucero,3,57,1,"[13.9, 75.9]","[3.1, 76.3]",10.8074045,3.1045725,Ground Pass,,,,,,,,,,,,True,From Throw In
3869519,Argentina,Nahuel Molina Lucero,Alexis Mac Allister,3,58,1,"[3.4, 76.3]","[46.0, 66.2]",43.780933,-0.2327909,High Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Alexis Mac Allister,Julián Álvarez,4,0,1,"[45.9, 65.7]","[38.6, 59.6]",9.513149,-2.4455085,Low Pass,,,,,,,,,,,,,From Throw In
3869519,Argentina,Julián Álvarez,Nicolás Alejandro Tagliafico,4,2,1,"[40.4, 53.3]","[39.4, 49.5]",3.9293766,-1.82812,Ground Pass,,,,,,,,Incomplete,,,,True,From Throw In
3869519,Argentina,Damián Emiliano Martínez,Alexis Mac Allister,4,21,1,"[12.5, 33.7]","[28.9, 20.6]",20.98976,-0.67399687,Ground Pass,,,,,,,,,,,,,From Keeper
3869519,Argentina,Alexis Mac Allister,Enzo Fernandez,4,25,1,"[50.1, 9.3]","[50.2, 20.6]",11.300443,1.561947,Ground Pass,,,,,,,,,,,,,From Keeper
3869519,Argentina,Enzo Fernandez,Alexis Mac Allister,4,32,1,"[77.2, 5.9]","[73.2, 17.1]",11.892855,1.9138203,Ground Pass,,,,,,,,,,,,,From Keeper
3869519,Argentina,Leandro Daniel Paredes,Lionel Andrés Messi Cuccittini,4,36,1,"[63.7, 24.3]","[69.3, 49.1]",25.424398,1.3487145,Ground Pass,,,,,,,,,,,,,From Keeper
3869519,Argentina,Lionel Andrés Messi Cuccittini,Alexis Mac Allister,4,40,1,"[70.3, 45.7]","[71.0, 31.0]",14.716658,-1.5232133,Ground Pass,,,,,,,,,,,,,From Keeper
3869519,Argentina,Alexis Mac Allister,Rodrigo Javier De Paul,4,41,1,"[71.0, 31.0]","[71.0, 52.2]",21.2,1.5707964,Ground Pass,,,,,,,,,,,,,From Keeper
3869519,Argentina,Rodrigo Javier De Paul,Enzo Fernandez,4,45,1,"[71.4, 55.4]","[72.0, 20.6]",34.805172,-1.5535567,Ground Pass,,,,,,,,,,,,,From Keeper
