match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_technique,pass_cross,pass_switch,pass_through_ball,pass_deflected,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
3869685,Argentina,Nahuel Molina Lucero,Rodrigo Javier De Paul,0,16,1,"[22.7, 80.0]","[36.0, 75.2]",14.139661,-0.3463541,Low Pass,Throw-in,,,,,,,,,,,From Throw In
3869685,Argentina,Rodrigo Javier De Paul,Cristian Gabriel Romero,0,31,1,"[41.1, 73.9]","[23.2, 62.8]",21.062288,-2.5865161,Ground Pass,Free Kick,,,,,,,,,,,From Free Kick
3869685,Argentina,Cristian Gabriel Romero,Nicolás Hernán Otamendi,0,34,1,"[24.7, 59.4]","[21.5, 32.2]",27.387589,-1.6879051,Ground Pass,,,,,,,,,,,,From Free Kick
3869685,Argentina,Nicolás Hernán Otamendi,Cristian Gabriel Romero,0,39,1,"[24.0, 27.1]","[21.7, 49.3]",22.318827,1.6740316,Ground Pass,,,,,,,,,,,,From Free Kick
3869685,Argentina,Cristian Gabriel Romero,Nicolás Hernán Otamendi,0,43,1,"[22.1, 49.8]","[24.0, 27.3]",22.58008,-1.4865518,Ground Pass,,,,,,,,,,,,From Free Kick
3869685,Argentina,Nicolás Hernán Otamendi,Nicolás Alejandro Tagliafico,0,45,1,"[21.7, 24.5]","[26.6, 3.1]",21.953815,-1.3457046,Ground Pass,,,,,,,,,,,,From Free Kick
3869685,Argentina,Nicolás Alejandro Tagliafico,Alexis Mac Allister,0,47,1,"[29.2, 2.5]","[45.6, 4.2]",16.487875,0.10328964,Ground Pass,,,,,,,,,,,,From Free Kick
3869685,Argentina,Nicolás Alejandro Tagliafico,Nicolás Hernán Otamendi,1,1,1,"[44.1, 3.8]","[20.8, 11.9]",24.667793,2.8070223,Ground Pass,Free Kick,,,,,,,,,,,From Free Kick
3869685,Argentina,Nicolás Hernán Otamendi,Cristian Gabriel Romero,1,4,1,"[21.7, 17.7]","[19.7, 33.3]",15.727683,1.6983058,Ground Pass,,,,,,,,,,,,From Free Kick
3869685,Argentina,Cristian Gabriel Romero,Nicolás Hernán Otamendi,1,12,1,"[30.9, 42.5]","[27.9, 22.6]",20.12486,-1.7204233,Ground Pass,,,,,,,,,,,,From Free Kick
