match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_technique,pass_cross,pass_cut_back,pass_switch,pass_deflected,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
3857289,Argentina,Damián Emiliano Martínez,Nicolás Hernán Otamendi,0,15,1,"[6.0, 36.0]","[7.8, 49.5]",13.619472,1.4382448,Ground Pass,Goal Kick,,,,,,,,,,,From Goal Kick
3857289,Argentina,Nicolás Hernán Otamendi,Gonzalo Ariel Montiel,0,17,1,"[8.9, 51.1]","[21.1, 71.8]",24.027693,1.0382282,Ground Pass,,,,,,,,,,,,From Goal Kick
3857289,Argentina,Gonzalo Ariel Montiel,Nicolás Hernán Otamendi,0,22,1,"[32.8, 69.3]","[21.1, 53.9]",19.340372,-2.2205021,Ground Pass,,,,,,,,,,,,From Goal Kick
3857289,Argentina,Nicolás Hernán Otamendi,Gonzalo Ariel Montiel,0,27,1,"[24.1, 51.7]","[34.7, 67.4]",18.943336,0.9769373,Ground Pass,,,,,,,,,,,,From Goal Kick
3857289,Argentina,Gonzalo Ariel Montiel,Ángel Fabián Di María Hernández,0,29,1,"[39.9, 68.8]","[46.6, 73.7]",8.300602,0.6314535,Ground Pass,,,,,,,,,,,,From Goal Kick
3857289,Argentina,Ángel Fabián Di María Hernández,Marcos Javier Acuña,0,32,1,"[43.9, 72.9]","[58.3, 14.5]",60.149147,-1.3290435,High Pass,,,,,True,,,,,,True,From Goal Kick
3857289,Argentina,Marcos Javier Acuña,Lautaro Javier Martínez,0,36,1,"[57.8, 12.3]","[68.1, 19.4]",12.509996,0.6035224,Low Pass,,,,,,,,,,,,From Goal Kick
3857289,Argentina,Marcos Javier Acuña,Lisandro Martínez,0,50,1,"[75.4, 0.1]","[45.0, 4.7]",30.746058,2.9914162,Low Pass,Throw-in,,,,,,,,,,,From Throw In
3857289,Argentina,Lisandro Martínez,Nicolás Hernán Otamendi,0,54,1,"[39.0, 5.0]","[27.9, 19.7]",18.420097,2.2175548,Ground Pass,,,,,,,,,,,,From Throw In
3857289,Argentina,Nicolás Hernán Otamendi,Gonzalo Ariel Montiel,0,57,1,"[28.2, 25.9]","[45.8, 67.7]",45.35416,1.1722739,Ground Pass,,,,,True,,,,,,,From Throw In
3857289,Argentina,Gonzalo Ariel Montiel,Ángel Fabián Di María Hernández,1,1,1,"[45.3, 69.3]","[60.8, 72.3]",15.787653,0.19118446,Ground Pass,,,,,,,,,,,,From Throw In
3857289,Argentina,Gonzalo Ariel Montiel,Rodrigo Javier De Paul,1,10,1,"[55.9, 68.0]","[39.6, 61.2]",17.661541,-2.746366,Ground Pass,Free Kick,,,,,,,,,,,From Free Kick
3857289,Argentina,Rodrigo Javier De Paul,Gonzalo Ariel Montiel,1,22,1,"[61.3, 64.2]","[54.0, 71.5]",10.323759,2.3561945,Ground Pass,,,,,,,,,,,,From Free Kick
3857289,Argentina,Gonzalo Ariel Montiel,Nicolás Hernán Otamendi,1,25,1,"[54.0, 71.5]","[38.5, 60.9]",18.777912,-2.5417738,Ground Pass,,,,,,,,,,,,From Free Kick
3857289,Argentina,Nicolás Hernán Otamendi,Guido Rodríguez,1,27,1,"[38.2, 58.2]","[50.7, 49.8]",15.060212,-0.59168583,Ground Pass,,,,,,,,,,,,From Free Kick
3857289,Argentina,Guido Rodríguez,Lisandro Martínez,1,28,1,"[49.4, 50.3]","[42.6, 20.5]",30.565994,-1.795143,Ground Pass,,,,,,,,,,,,From Free Kick
3857289,Argentina,Lisandro Martínez,Marcos Javier Acuña,1,34,1,"[55.9, 12.1]","[68.4, 3.7]",15.060212,-0.59168583,Ground Pass,,,,,,,,,,,True,From Free Kick
3857289,Argentina,Marcos Javier Acuña,Nicolás Hernán Otamendi,1,37,1,"[64.3, 11.0]","[40.1, 25.1]",28.008034,2.6140323,Ground Pass,,,,,,,,,,,True,From Free Kick
3857289,Argentina,Nicolás Hernán Otamendi,Gonzalo Ariel Montiel,1,39,1,"[38.8, 30.3]","[45.3, 64.7]",35.008713,1.3840446,Ground Pass,,,,,,,,,,,,From Free Kick
3857289,Argentina,Gonzalo Ariel Montiel,Ángel Fabián Di María Hernández,1,45,1,"[71.3, 65.5]","[69.2, 73.7]",8.464632,1.8215055,Ground Pass,,,,,,,,,,,,From Free Kick
3857289,Argentina,Ángel Fabián Di María Hernández,Guido Rodríguez,1,47,1,"[67.5, 73.9]","[56.7, 51.7]",24.687649,-2.0235748,Ground Pass,,,,,,,,,,,,From Free Kick
