Source,Target,pass_category,Weight,failed_passes,recovery_interception_pass,total_passes,assist_count,label
Alexis Mac Allister,Enzo Fernandez,Regular pass,1,0,0,1,0,Regular pass
Alexis Mac Allister,Gonzalo Ariel Montiel,Regular pass,3,1,0,4,0,Regular pass
Alexis Mac Allister,Gonzalo Ariel Montiel,Switch of play,1,0,0,1,0,Switch of play
Alexis Mac Allister,Guido Rodríguez,Regular pass,5,0,0,5,0,Regular pass
Alexis Mac Allister,Lautaro Javier Martínez,Regular pass,1,0,1,1,0,Regular pass
Alexis Mac Allister,Lionel Andrés Messi Cuccittini,Regular pass,6,1,0,7,0,Regular pass
Alexis Mac Allister,Lisandro Martínez,Regular pass,4,0,0,4,0,Regular pass
Alexis Mac Allister,Marcos Javier Acuña,Regular pass,6,1,1,7,0,Regular pass
Alexis Mac Allister,Rodrigo Javier De Paul,Regular pass,2,0,0,2,0,Regular pass
Alexis Mac Allister,Ángel Fabián Di María Hernández,Regular pass,3,1,0,4,0,Regular pass
Cristian Gabriel Romero,Damián Emiliano Martínez,Regular pass,2,0,0,2,0,Regular pass
Cristian Gabriel Romero,Nicolás Hernán Otamendi,Regular pass,1,0,0,1,0,Regular pass
Damián Emiliano Martínez,Enzo Fernandez,Goal Kick,1,0,0,1,0,Goal Kick
Damián Emiliano Martínez,Gonzalo Ariel Montiel,Goal Kick,1,0,0,1,0,Goal Kick
Damián Emiliano Martínez,Gonzalo Ariel Montiel,Regular pass,3,0,0,3,0,Regular pass
Damián Emiliano Martínez,Guido Rodríguez,Regular pass,1,0,0,1,0,Regular pass
Damián Emiliano Martínez,Lionel Andrés Messi Cuccittini,Regular pass,1,0,0,1,0,Regular pass
Damián Emiliano Martínez,Lisandro Martínez,Goal Kick,1,0,0,1,0,Goal Kick
Damián Emiliano Martínez,Lisandro Martínez,Regular pass,1,0,0,1,0,Regular pass
Damián Emiliano Martínez,Marcos Javier Acuña,Regular pass,1,0,0,1,0,Regular pass
Damián Emiliano Martínez,Nicolás Hernán Otamendi,Goal Kick,2,0,0,2,0,Goal Kick
Damián Emiliano Martínez,Nicolás Hernán Otamendi,Regular pass,5,0,0,5,0,Regular pass
Damián Emiliano Martínez,Rodrigo Javier De Paul,Regular pass,1,0,0,1,0,Regular pass
Enzo Fernandez,Cristian Gabriel Romero,Regular pass,1,0,0,1,0,Regular pass
Enzo Fernandez,Exequiel Alejandro Palacios,Regular pass,1,0,1,1,0,Regular pass
Enzo Fernandez,Gonzalo Ariel Montiel,Regular pass,1,0,0,1,0,Regular pass
Enzo Fernandez,Gonzalo Ariel Montiel,Switch of play,1,0,0,1,0,Switch of play
Enzo Fernandez,Julián Álvarez,Regular pass,1,0,1,1,0,Regular pass
Enzo Fernandez,Lionel Andrés Messi Cuccittini,Regular pass,3,1,1,4,0,Regular pass
Enzo Fernandez,Lisandro Martínez,Regular pass,1,0,0,1,0,Regular pass
Enzo Fernandez,Nahuel Molina Lucero,Regular pass,1,0,0,1,0,Regular pass
Enzo Fernandez,Nicolás Hernán Otamendi,Free Kick,1,0,0,1,0,Free Kick
Enzo Fernandez,Nicolás Hernán Otamendi,Regular pass,2,0,0,2,0,Regular pass
Enzo Fernandez,Rodrigo Javier De Paul,Regular pass,4,0,0,4,0,Regular pass
Enzo Fernandez,Ángel Fabián Di María Hernández,Regular pass,2,0,0,2,0,Regular pass
Exequiel Alejandro Palacios,Enzo Fernandez,Free Kick,1,0,0,1,0,Free Kick
Exequiel Alejandro Palacios,Enzo Fernandez,Regular pass,2,0,0,2,0,Regular pass
Exequiel Alejandro Palacios,Julián Álvarez,Regular pass,1,0,0,1,0,Regular pass
Exequiel Alejandro Palacios,Marcos Javier Acuña,Regular pass,1,0,0,1,0,Regular pass
Gonzalo Ariel Montiel,Enzo Fernandez,Regular pass,2,0,0,2,0,Regular pass
Gonzalo Ariel Montiel,Guido Rodríguez,Throw-in,2,0,0,2,0,Throw-in
Gonzalo Ariel Montiel,Lautaro Javier Martínez,Regular pass,1,0,0,1,0,Regular pass
Gonzalo Ariel Montiel,Lionel Andrés Messi Cuccittini,Regular pass,4,1,0,5,0,Regular pass
Gonzalo Ariel Montiel,Lisandro Martínez,Regular pass,1,0,0,1,0,Regular pass
Gonzalo Ariel Montiel,Nicolás Hernán Otamendi,Regular pass,9,0,0,9,0,Regular pass
Gonzalo Ariel Montiel,Nicolás Hernán Otamendi,Throw-in,4,0,0,4,0,Throw-in
Gonzalo Ariel Montiel,Rodrigo Javier De Paul,Free Kick,1,0,0,1,0,Free Kick
Gonzalo Ariel Montiel,Rodrigo Javier De Paul,Regular pass,8,2,1,10,0,Regular pass
Gonzalo Ariel Montiel,Rodrigo Javier De Paul,Throw-in,1,0,0,1,0,Throw-in
Gonzalo Ariel Montiel,Ángel Fabián Di María Hernández,Regular pass,12,0,2,12,0,Regular pass
Guido Rodríguez,Alexis Mac Allister,Regular pass,7,0,0,7,0,Regular pass
