Source,Target,pass_category,Weight,failed_passes,recovery_interception_pass,total_passes,assist_count,label
Alejandro Darío Gómez,Alexis Mac Allister,Regular pass,2,0,0,2,0,Regular pass
Alejandro Darío Gómez,Cristian Gabriel Romero,Regular pass,4,0,0,4,0,Regular pass
Alejandro Darío Gómez,Enzo Fernandez,Regular pass,4,0,0,4,0,Regular pass
Alejandro Darío Gómez,Julián Álvarez,Regular pass,2,1,0,3,0,Regular pass
Alejandro Darío Gómez,Leandro Daniel Paredes,Regular pass,6,0,0,6,0,Regular pass
Alejandro Darío Gómez,Lionel Andrés Messi Cuccittini,Regular pass,10,0,2,10,0,Regular pass
Alejandro Darío Gómez,Marcos Javier Acuña,Regular pass,4,0,0,4,0,Regular pass
Alejandro Darío Gómez,Nahuel Molina Lucero,Regular pass,4,0,0,4,0,Regular pass
Alejandro Darío Gómez,Nicolás Alejandro Tagliafico,Regular pass,4,0,0,4,0,Regular pass
Alejandro Darío Gómez,Nicolás Hernán Otamendi,Regular pass,3,0,0,3,0,Regular pass
Alejandro Darío Gómez,Rodrigo Javier De Paul,Regular pass,6,0,0,6,0,Regular pass
Alejandro Darío Gómez,Ángel Fabián Di María Hernández,Switch of play,1,0,0,1,0,Switch of play
Alexis Mac Allister,Alejandro Darío Gómez,Regular pass,1,0,1,1,0,Regular pass
Alexis Mac Allister,Cristian Gabriel Romero,Regular pass,3,0,0,3,0,Regular pass
Alexis Mac Allister,Enzo Fernandez,Assist,1,0,0,1,1,Assist
Alexis Mac Allister,Enzo Fernandez,Regular pass,28,0,3,28,0,Regular pass
Alexis Mac Allister,Exequiel Alejandro Palacios,Regular pass,2,0,0,2,0,Regular pass
Alexis Mac Allister,Germán Alejandro Pezzella,Regular pass,1,0,0,1,0,Regular pass
Alexis Mac Allister,Gonzalo Ariel Montiel,Regular pass,4,1,0,5,0,Regular pass
Alexis Mac Allister,Gonzalo Ariel Montiel,Switch of play,1,0,0,1,0,Switch of play
Alexis Mac Allister,Guido Rodríguez,Regular pass,5,0,0,5,0,Regular pass
Alexis Mac Allister,Julián Álvarez,Assist,2,0,0,2,2,Assist
Alexis Mac Allister,Julián Álvarez,Regular pass,11,2,1,13,0,Regular pass
Alexis Mac Allister,Lautaro Javier Martínez,Regular pass,4,1,2,5,0,Regular pass
Alexis Mac Allister,Leandro Daniel Paredes,Regular pass,13,0,0,13,0,Regular pass
Alexis Mac Allister,Lionel Andrés Messi Cuccittini,Assist,1,0,1,1,2,Assist
Alexis Mac Allister,Lionel Andrés Messi Cuccittini,Regular pass,27,7,0,34,0,Regular pass
Alexis Mac Allister,Lisandro Martínez,Regular pass,9,1,0,10,0,Regular pass
Alexis Mac Allister,Marcos Javier Acuña,Regular pass,38,2,1,40,0,Regular pass
Alexis Mac Allister,Nahuel Molina Lucero,Regular pass,6,0,0,6,0,Regular pass
Alexis Mac Allister,Nicolás Alejandro Tagliafico,Regular pass,9,1,1,10,0,Regular pass
Alexis Mac Allister,Nicolás Hernán Otamendi,Regular pass,23,0,1,23,0,Regular pass
Alexis Mac Allister,Rodrigo Javier De Paul,Assist,2,0,0,2,2,Assist
Alexis Mac Allister,Rodrigo Javier De Paul,Cross,1,0,0,1,0,Cross
Alexis Mac Allister,Rodrigo Javier De Paul,Regular pass,26,3,1,29,0,Regular pass
Alexis Mac Allister,Ángel Fabián Di María Hernández,Assist,1,0,0,1,1,Assist
Alexis Mac Allister,Ángel Fabián Di María Hernández,Regular pass,12,1,1,13,0,Regular pass
Cristian Gabriel Romero,Alejandro Darío Gómez,Regular pass,3,0,0,3,0,Regular pass
Cristian Gabriel Romero,Alexis Mac Allister,Regular pass,3,1,3,4,0,Regular pass
Cristian Gabriel Romero,Alexis Mac Allister,Throw-in,1,0,0,1,0,Throw-in
Cristian Gabriel Romero,Damián Emiliano Martínez,Goal Kick,1,0,0,1,0,Goal Kick
Cristian Gabriel Romero,Damián Emiliano Martínez,Regular pass,20,0,4,20,0,Regular pass
Cristian Gabriel Romero,Enzo Fernandez,Free Kick,2,0,0,2,0,Free Kick
Cristian Gabriel Romero,Enzo Fernandez,Regular pass,27,1,4,28,0,Regular pass
Cristian Gabriel Romero,Germán Alejandro Pezzella,Regular pass,2,0,0,2,0,Regular pass
Cristian Gabriel Romero,Gonzalo Ariel Montiel,Regular pass,2,0,1,2,0,Regular pass
Cristian Gabriel Romero,Julián Álvarez,Regular pass,4,3,1,7,0,Regular pass
Cristian Gabriel Romero,Lautaro Javier Martínez,Regular pass,1,0,2,1,0,Regular pass
Cristian Gabriel Romero,Leandro Daniel Paredes,Free Kick,1,0,0,1,0,Free Kick
Cristian Gabriel Romero,Leandro Daniel Paredes,Regular pass,20,0,1,20,0,Regular pass
Cristian Gabriel Romero,Leandro Daniel Paredes,Throw-in,1,0,0,1,0,Throw-in
Cristian Gabriel Romero,Lionel Andrés Messi Cuccittini,Free Kick,1,1,0,2,0,Free Kick
Cristian Gabriel Romero,Lionel Andrés Messi Cuccittini,Regular pass,25,5,1,30,0,Regular pass
Cristian Gabriel Romero,Marcos Javier Acuña,Switch of play,1,1,0,2,0,Switch of play
Cristian Gabriel Romero,Nahuel Molina Lucero,Regular pass,35,1,7,36,0,Regular pass
Cristian Gabriel Romero,Nicolás Alejandro Tagliafico,Regular pass,1,0,0,1,0,Regular pass
Cristian Gabriel Romero,Nicolás Hernán Otamendi,Regular pass,67,0,6,67,0,Regular pass
Cristian Gabriel Romero,Nicolás Hernán Otamendi,Switch of play,1,0,0,1,0,Switch of play
Cristian Gabriel Romero,Paulo Bruno Exequiel Dybala,Regular pass,1,0,0,1,0,Regular pass
Cristian Gabriel Romero,Rodrigo Javier De Paul,Free Kick,1,0,0,1,0,Free Kick
Cristian Gabriel Romero,Rodrigo Javier De Paul,Regular pass,66,0,6,66,0,Regular pass
Cristian Gabriel Romero,Ángel Fabián Di María Hernández,Regular pass,6,0,0,6,0,Regular pass
Cristian Gabriel Romero,Ángel Fabián Di María Hernández,Switch of play,2,1,0,3,0,Switch of play
Damián Emiliano Martínez,Alejandro Darío Gómez,Regular pass,1,0,0,1,0,Regular pass
Damián Emiliano Martínez,Alexis Mac Allister,Goal Kick,2,3,0,5,0,Goal Kick
Damián Emiliano Martínez,Alexis Mac Allister,Regular pass,1,0,0,1,0,Regular pass
Damián Emiliano Martínez,Cristian Gabriel Romero,Free Kick,2,0,0,2,0,Free Kick
Damián Emiliano Martínez,Cristian Gabriel Romero,Goal Kick,3,0,0,3,0,Goal Kick
Damián Emiliano Martínez,Cristian Gabriel Romero,Regular pass,12,0,0,12,0,Regular pass
Damián Emiliano Martínez,Enzo Fernandez,Goal Kick,1,0,0,1,0,Goal Kick
Damián Emiliano Martínez,Enzo Fernandez,Regular pass,5,0,0,5,0,Regular pass
Damián Emiliano Martínez,Germán Alejandro Pezzella,Goal Kick,2,0,0,2,0,Goal Kick
Damián Emiliano Martínez,Germán Alejandro Pezzella,Regular pass,2,0,0,2,0,Regular pass
Damián Emiliano Martínez,Gonzalo Ariel Montiel,Goal Kick,1,0,0,1,0,Goal Kick
Damián Emiliano Martínez,Gonzalo Ariel Montiel,Regular pass,4,0,0,4,0,Regular pass
Damián Emiliano Martínez,Guido Rodríguez,Regular pass,1,0,0,1,0,Regular pass
Damián Emiliano Martínez,Julián Álvarez,Free Kick,2,3,0,5,0,Free Kick
Damián Emiliano Martínez,Julián Álvarez,Goal Kick,1,3,0,4,0,Goal Kick
Damián Emiliano Martínez,Julián Álvarez,Regular pass,1,7,0,8,0,Regular pass
Damián Emiliano Martínez,Lautaro Javier Martínez,Goal Kick,1,0,0,1,0,Goal Kick
Damián Emiliano Martínez,Lautaro Javier Martínez,Regular pass,2,1,0,3,0,Regular pass
Damián Emiliano Martínez,Leandro Daniel Paredes,Goal Kick,1,0,0,1,0,Goal Kick
Damián Emiliano Martínez,Leandro Daniel Paredes,Regular pass,3,0,0,3,0,Regular pass
Damián Emiliano Martínez,Lionel Andrés Messi Cuccittini,Regular pass,1,3,0,4,0,Regular pass
Damián Emiliano Martínez,Lisandro Martínez,Goal Kick,2,0,0,2,0,Goal Kick
Damián Emiliano Martínez,Lisandro Martínez,Regular pass,4,0,0,4,0,Regular pass
Damián Emiliano Martínez,Marcos Javier Acuña,Regular pass,5,2,0,7,0,Regular pass
Damián Emiliano Martínez,Marcos Javier Acuña,Switch of play,1,1,0,2,0,Switch of play
Damián Emiliano Martínez,Nahuel Molina Lucero,Regular pass,7,3,0,10,0,Regular pass
Damián Emiliano Martínez,Nahuel Molina Lucero,Switch of play,1,0,0,1,0,Switch of play
