match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_technique,pass_cross,pass_cut_back,pass_switch,pass_through_ball,pass_deflected,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
3942226,Spain,Robin Aime Robert Le Normand,,0,5,1,"[29.7, 49.4]","[38.3, 47.6]",8.786353,-0.20632389,Low Pass,Recovery,,,,,,,Incomplete,,,,,From Kick Off
3942226,Spain,Marc Cucurella Saseta,Lamine Yamal Nasraoui Ebana,0,9,1,"[31.3, 40.0]","[50.0, 56.0]",24.61077,0.70774484,High Pass,Recovery,,,,,,,Incomplete,,,,True,From Kick Off
3942226,Spain,Unai Simón Mendibil,Aymeric Laporte,0,23,1,"[15.8, 37.6]","[16.3, 29.9]",7.7162166,-1.5059524,Ground Pass,,,,,,,,,,,,,From Keeper
3942226,Spain,Aymeric Laporte,Marc Cucurella Saseta,0,25,1,"[18.5, 26.9]","[29.7, 7.4]",22.487553,-1.049444,Ground Pass,,,,,,,,,,,,,From Keeper
3942226,Spain,Marc Cucurella Saseta,Nicholas Williams Arthuer,0,27,1,"[28.1, 5.9]","[49.7, 3.0]",21.793806,-0.13346118,Ground Pass,,,,,,,,,,,,True,From Keeper
3942226,Spain,Nicholas Williams Arthuer,Álvaro Borja Morata Martín,0,32,1,"[58.8, 14.3]","[78.3, 19.2]",20.106218,0.24618493,Ground Pass,,,,,,,,,,,,,From Keeper
3942226,Spain,Álvaro Borja Morata Martín,Nicholas Williams Arthuer,0,34,1,"[78.6, 19.4]","[75.2, 25.5]",6.983552,2.0792856,Ground Pass,,,,,,,,Incomplete,,,,,From Keeper
3942226,Spain,Fabián Ruiz Peña,Nicholas Williams Arthuer,0,45,1,"[71.5, 19.0]","[82.0, 15.1]",11.200892,-0.35563588,Ground Pass,,,,,,,,,,,,,Regular Play
3942226,Spain,Nicholas Williams Arthuer,Álvaro Borja Morata Martín,0,50,1,"[97.3, 13.3]","[108.6, 34.5]",24.023531,1.0810839,Ground Pass,,,True,,,,,,,,,,Regular Play
3942226,Spain,Álvaro Borja Morata Martín,Pedro González López,0,51,1,"[107.6, 34.5]","[101.5, 39.7]",8.01561,2.4356728,Ground Pass,,,,,,,,,True,,8ea3599b-d424-4dd9-8e01-03bd28dc1d2c,True,Regular Play
3942226,Spain,Aymeric Laporte,Marc Cucurella Saseta,2,27,1,"[63.4, 14.1]","[69.5, 6.7]",9.590099,-0.88139844,Ground Pass,Free Kick,,,,,,,,,,,,From Free Kick
3942226,Spain,Marc Cucurella Saseta,Aymeric Laporte,2,29,1,"[69.5, 6.7]","[61.6, 13.5]",10.423532,2.4308853,Ground Pass,,,,,,,,,,,,,From Free Kick
3942226,Spain,Aymeric Laporte,Fabián Ruiz Peña,2,31,1,"[61.0, 14.1]","[63.4, 25.5]",11.649893,1.3633001,Ground Pass,,,,,,,,,,,,True,From Free Kick
