Source,Target,pass_category,Weight,failed_passes,recovery_interception_pass,total_passes,assist_count,label
Aymeric Laporte,Daniel Olmo Carvajal,Regular pass,1,0,0,1,0,Regular pass
Aymeric Laporte,Fabián Ruiz Peña,Regular pass,9,0,0,9,0,Regular pass
Aymeric Laporte,José Ignacio Fernández Iglesias,Free Kick,1,0,0,1,0,Free Kick
Aymeric Laporte,José Ignacio Fernández Iglesias,Regular pass,3,0,1,3,0,Regular pass
Aymeric Laporte,Lamine Yamal Nasraoui Ebana,Switch of play,1,0,0,1,0,Switch of play
Aymeric Laporte,Marc Cucurella Saseta,Free Kick,1,0,0,1,0,Free Kick
Aymeric Laporte,Marc Cucurella Saseta,Regular pass,10,0,0,10,0,Regular pass
Aymeric Laporte,Mikel Merino Zazón,Regular pass,2,1,1,3,0,Regular pass
Aymeric Laporte,Nicholas Williams Arthuer,Regular pass,3,0,1,3,0,Regular pass
Aymeric Laporte,Robin Aime Robert Le Normand,Regular pass,5,0,0,5,0,Regular pass
Aymeric Laporte,Rodrigo Hernández Cascante,Free Kick,1,0,0,1,0,Free Kick
Aymeric Laporte,Rodrigo Hernández Cascante,Regular pass,6,0,2,6,0,Regular pass
Aymeric Laporte,Unai Simón Mendibil,Free Kick,2,0,0,2,0,Free Kick
Aymeric Laporte,Unai Simón Mendibil,Goal Kick,2,0,0,2,0,Goal Kick
Aymeric Laporte,Unai Simón Mendibil,Regular pass,8,0,1,8,0,Regular pass
Aymeric Laporte,Álvaro Borja Morata Martín,Regular pass,2,0,1,2,0,Regular pass
Daniel Carvajal Ramos,Daniel Olmo Carvajal,Regular pass,3,0,1,3,0,Regular pass
Daniel Carvajal Ramos,Daniel Olmo Carvajal,Throw-in,1,0,0,1,0,Throw-in
Daniel Carvajal Ramos,Fabián Ruiz Peña,Regular pass,5,0,1,5,0,Regular pass
Daniel Carvajal Ramos,Fabián Ruiz Peña,Throw-in,1,0,0,1,0,Throw-in
Daniel Carvajal Ramos,Ferrán Torres García,Regular pass,2,1,1,3,0,Regular pass
Daniel Carvajal Ramos,José Ignacio Fernández Iglesias,Regular pass,1,0,3,1,0,Regular pass
Daniel Carvajal Ramos,José Luis Sanmartín Mato,Throw-in,1,0,0,1,0,Throw-in
Daniel Carvajal Ramos,Lamine Yamal Nasraoui Ebana,Regular pass,6,0,0,6,0,Regular pass
Daniel Carvajal Ramos,Marc Cucurella Saseta,Switch of play,1,0,0,1,0,Switch of play
