match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_technique,pass_cross,pass_cut_back,pass_switch,pass_through_ball,pass_deflected,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
3930160,Spain,Daniel Carvajal Ramos,Álvaro Borja Morata Martín,0,16,1,"[33.0, 80.0]","[47.5, 69.9]",17.67088,-0.6084079,High Pass,Throw-in,,,,,,,,,,,,From Throw In
3930160,Spain,Álvaro Borja Morata Martín,Pedro González López,0,18,1,"[47.5, 69.9]","[55.4, 57.8]",14.450605,-0.99239033,Low Pass,,,,,,,,Incomplete,,,,True,From Throw In
3930160,Spain,José Ignacio Fernández Iglesias,Unai Simón Mendibil,0,29,1,"[27.2, 24.0]","[10.0, 34.1]",19.946178,2.6106312,Ground Pass,,,,,,,,,,,,True,From Throw In
3930160,Spain,Unai Simón Mendibil,Robin Aime Robert Le Normand,0,33,1,"[9.7, 33.9]","[12.0, 55.2]",21.423819,1.4632319,Ground Pass,,,,,,,,,,,,,From Throw In
3930160,Spain,Robin Aime Robert Le Normand,José Ignacio Fernández Iglesias,0,38,1,"[18.1, 54.5]","[22.1, 21.4]",33.340816,-1.4505336,Ground Pass,,,,,,,,,,,,,From Throw In
3930160,Spain,José Ignacio Fernández Iglesias,Unai Simón Mendibil,0,47,1,"[35.8, 10.7]","[17.9, 34.8]",30.020327,2.2096338,Ground Pass,,,,,,,,,,,,,From Throw In
3930160,Spain,Unai Simón Mendibil,José Ignacio Fernández Iglesias,0,52,1,"[21.2, 35.2]","[26.3, 9.8]",25.906948,-1.3726437,Ground Pass,,,,,,,,,,,,,From Throw In
3930160,Spain,José Ignacio Fernández Iglesias,Fabián Ruiz Peña,1,0,1,"[35.3, 10.1]","[49.1, 10.1]",13.8,0.0,Ground Pass,,,,,,,,,,,,,From Throw In
3930160,Spain,Fabián Ruiz Peña,Marc Cucurella Saseta,1,1,1,"[49.1, 10.1]","[55.9, 0.6]",11.682894,-0.9495518,Ground Pass,,,,,,,,,,,,,From Throw In
3930160,Spain,Marc Cucurella Saseta,Álvaro Borja Morata Martín,1,3,1,"[71.9, 2.3]","[70.7, 16.4]",14.150971,1.6556981,Ground Pass,,,,,,,,,,,,True,From Throw In
