match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_technique,pass_cross,pass_cut_back,pass_switch,pass_through_ball,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
3943043,Spain,Unai Simón Mendibil,Robin Aime Robert Le Normand,0,34,1,"[6.9, 39.6]","[9.1, 57.2]",17.736967,1.4464413,Ground Pass,Goal Kick,,,,,,,,,,,From Goal Kick
3943043,Spain,Robin Aime Robert Le Normand,Daniel Carvajal Ramos,0,36,1,"[8.9, 57.2]","[20.6, 75.8]",21.973848,1.0093026,Ground Pass,,,,,,,,,,,,From Goal Kick
3943043,Spain,Daniel Carvajal Ramos,Daniel Olmo Carvajal,0,39,1,"[28.6, 76.4]","[50.2, 68.5]",22.999348,-0.35062835,Ground Pass,,,,,,,,,,,,From Goal Kick
3943043,Spain,Álvaro Borja Morata Martín,Lamine Yamal Nasraoui Ebana,0,41,1,"[61.9, 67.1]","[65.1, 66.9]",3.206244,-0.06241881,Ground Pass,Recovery,,,,,,Incomplete,,,,,From Goal Kick
3943043,Spain,Daniel Carvajal Ramos,Daniel Olmo Carvajal,0,56,1,"[72.5, 80.0]","[70.4, 73.3]",7.0213957,-1.8745308,High Pass,Throw-in,,,,,,,,,,,From Throw In
3943043,Spain,Daniel Olmo Carvajal,Daniel Carvajal Ramos,0,58,1,"[70.4, 73.3]","[71.0, 78.3]",5.0358715,1.4513674,Low Pass,,,,,,,,,,,,From Throw In
3943043,Spain,Daniel Olmo Carvajal,Rodrigo Hernández Cascante,1,1,1,"[64.5, 77.5]","[56.8, 75.5]",7.955501,-2.8874679,Ground Pass,Recovery,,,,,,,,,,True,From Throw In
3943043,Spain,Rodrigo Hernández Cascante,Robin Aime Robert Le Normand,1,5,1,"[47.1, 76.6]","[26.1, 60.7]",26.340273,-2.4935358,Ground Pass,,,,,,,,,,,True,From Throw In
3943043,Spain,Robin Aime Robert Le Normand,Aymeric Laporte,1,8,1,"[23.3, 60.1]","[27.4, 33.8]",26.617662,-1.4161476,Ground Pass,,,,,,,,,,,,From Throw In
3943043,Spain,Aymeric Laporte,Robin Aime Robert Le Normand,1,15,1,"[42.2, 24.9]","[35.6, 55.6]",31.401434,1.7825569,Ground Pass,,,,,,,,,,,,From Throw In
3943043,Spain,Robin Aime Robert Le Normand,Aymeric Laporte,1,22,1,"[42.9, 54.1]","[43.5, 25.2]",28.906227,-1.5500381,Ground Pass,,,,,,,,,,,,From Throw In
3943043,Spain,Aymeric Laporte,Lamine Yamal Nasraoui Ebana,1,28,1,"[61.7, 20.2]","[97.1, 71.6]",62.410896,0.96768373,High Pass,,,,,True,,,,,,,From Throw In
