Source,Target,pass_category,Weight,failed_passes,recovery_interception_pass,total_passes,assist_count,label
Aymeric Laporte,Daniel Olmo Carvajal,Regular pass,2,0,2,2,0,Regular pass
Aymeric Laporte,Fabián Ruiz Peña,Regular pass,7,0,0,7,0,Regular pass
Aymeric Laporte,Lamine Yamal Nasraoui Ebana,Switch of play,1,0,0,1,0,Switch of play
Aymeric Laporte,Marc Cucurella Saseta,Regular pass,14,0,0,14,0,Regular pass
Aymeric Laporte,Martín Zubimendi Ibáñez,Regular pass,2,0,1,2,0,Regular pass
Aymeric Laporte,Nicholas Williams Arthuer,Regular pass,5,0,2,5,0,Regular pass
Aymeric Laporte,Robin Aime Robert Le Normand,Free Kick,1,0,0,1,0,Free Kick
Aymeric Laporte,Robin Aime Robert Le Normand,Regular pass,26,0,0,26,0,Regular pass
Aymeric Laporte,Robin Aime Robert Le Normand,Switch of play,2,0,0,2,0,Switch of play
Aymeric Laporte,Rodrigo Hernández Cascante,Regular pass,6,0,1,6,0,Regular pass
Aymeric Laporte,Unai Simón Mendibil,Goal Kick,2,0,0,2,0,Goal Kick
Aymeric Laporte,Unai Simón Mendibil,Regular pass,6,0,0,6,0,Regular pass
Aymeric Laporte,Álvaro Borja Morata Martín,Regular pass,1,0,0,1,0,Regular pass
Daniel Carvajal Ramos,Aymeric Laporte,Regular pass,1,0,0,1,0,Regular pass
Daniel Carvajal Ramos,Aymeric Laporte,Switch of play,1,0,0,1,0,Switch of play
Daniel Carvajal Ramos,Aymeric Laporte,Throw-in,1,0,0,1,0,Throw-in
Daniel Carvajal Ramos,Daniel Olmo Carvajal,Regular pass,4,1,0,5,0,Regular pass
Daniel Carvajal Ramos,Daniel Olmo Carvajal,Throw-in,2,0,0,2,0,Throw-in
Daniel Carvajal Ramos,Fabián Ruiz Peña,Assist,1,0,0,1,1,Assist
Daniel Carvajal Ramos,Fabián Ruiz Peña,Regular pass,5,0,1,5,0,Regular pass
Daniel Carvajal Ramos,Fabián Ruiz Peña,Throw-in,4,0,0,4,0,Throw-in
Daniel Carvajal Ramos,Lamine Yamal Nasraoui Ebana,Regular pass,13,0,1,13,0,Regular pass
Daniel Carvajal Ramos,Lamine Yamal Nasraoui Ebana,Throw-in,2,0,0,2,0,Throw-in
Daniel Carvajal Ramos,Martín Zubimendi Ibáñez,Throw-in,1,0,0,1,0,Throw-in
Daniel Carvajal Ramos,Mikel Oyarzabal Ugarte,Regular pass,1,0,0,1,0,Regular pass
Daniel Carvajal Ramos,Mikel Oyarzabal Ugarte,Throw-in,1,0,0,1,0,Throw-in
Daniel Carvajal Ramos,Nicholas Williams Arthuer,Cross,1,0,0,1,0,Cross
Daniel Carvajal Ramos,Robin Aime Robert Le Normand,Regular pass,8,0,1,8,0,Regular pass
Daniel Carvajal Ramos,Rodrigo Hernández Cascante,Regular pass,4,0,1,4,0,Regular pass
Daniel Carvajal Ramos,Unai Simón Mendibil,Regular pass,5,0,0,5,0,Regular pass
Daniel Carvajal Ramos,Álvaro Borja Morata Martín,Assist,1,0,0,1,1,Assist
Daniel Carvajal Ramos,Álvaro Borja Morata Martín,Regular pass,1,0,1,1,0,Regular pass
Daniel Carvajal Ramos,Álvaro Borja Morata Martín,Throw-in,1,2,0,3,0,Throw-in
Daniel Olmo Carvajal,Daniel Carvajal Ramos,Regular pass,3,0,0,3,0,Regular pass
Daniel Olmo Carvajal,Fabián Ruiz Peña,Regular pass,2,0,0,2,0,Regular pass
Daniel Olmo Carvajal,Lamine Yamal Nasraoui Ebana,Assist,2,0,0,2,2,Assist
Daniel Olmo Carvajal,Lamine Yamal Nasraoui Ebana,Regular pass,5,2,0,7,0,Regular pass
Daniel Olmo Carvajal,Marc Cucurella Saseta,Regular pass,1,0,0,1,0,Regular pass
Daniel Olmo Carvajal,Martín Zubimendi Ibáñez,Regular pass,2,0,1,2,0,Regular pass
Daniel Olmo Carvajal,Mikel Oyarzabal Ugarte,Regular pass,1,0,0,1,0,Regular pass
Daniel Olmo Carvajal,Nicholas Williams Arthuer,Regular pass,5,0,0,5,0,Regular pass
Daniel Olmo Carvajal,Álvaro Borja Morata Martín,Regular pass,1,2,0,3,0,Regular pass
Fabián Ruiz Peña,Aymeric Laporte,Regular pass,7,0,0,7,0,Regular pass
Fabián Ruiz Peña,Aymeric Laporte,Switch of play,1,0,0,1,0,Switch of play
Fabián Ruiz Peña,Daniel Carvajal Ramos,Regular pass,8,2,0,10,0,Regular pass
