Source,Target,pass_category,Weight,failed_passes,recovery_interception_pass,total_passes,assist_count,label
Alejandro Baena Rodríguez,Alejandro Grimaldo García,Regular pass,1,0,0,1,0,Regular pass
Alejandro Baena Rodríguez,Ayoze Pérez Gutiérrez,Assist,1,0,0,1,1,Assist
Alejandro Baena Rodríguez,Daniel Carvajal Ramos,Regular pass,1,0,0,1,0,Regular pass
Alejandro Baena Rodríguez,Fabián Ruiz Peña,Regular pass,1,0,0,1,0,Regular pass
Alejandro Baena Rodríguez,Fermin Lopez Marin,Regular pass,1,0,0,1,0,Regular pass
Alejandro Baena Rodríguez,Ferrán Torres García,Regular pass,3,0,0,3,0,Regular pass
Alejandro Baena Rodríguez,Martín Zubimendi Ibáñez,Regular pass,1,0,0,1,0,Regular pass
Alejandro Baena Rodríguez,Mikel Merino Zazón,Regular pass,1,0,0,1,0,Regular pass
Alejandro Baena Rodríguez,Mikel Oyarzabal Ugarte,Regular pass,1,0,0,1,0,Regular pass
Alejandro Grimaldo García,Alejandro Baena Rodríguez,Regular pass,2,0,0,2,0,Regular pass
Alejandro Grimaldo García,Aymeric Laporte,Free Kick,1,0,0,1,0,Free Kick
Alejandro Grimaldo García,Aymeric Laporte,Regular pass,10,0,1,10,0,Regular pass
Alejandro Grimaldo García,Daniel Olmo Carvajal,Assist,1,0,0,1,1,Assist
Alejandro Grimaldo García,Daniel Olmo Carvajal,Regular pass,5,0,1,5,0,Regular pass
Alejandro Grimaldo García,Daniel Vivian Moreno,Assist,1,0,0,1,1,Assist
Alejandro Grimaldo García,David Raya Martin,Regular pass,2,0,0,2,0,Regular pass
Alejandro Grimaldo García,Fabián Ruiz Peña,Assist,1,0,0,1,1,Assist
Alejandro Grimaldo García,Fabián Ruiz Peña,Regular pass,9,0,1,9,0,Regular pass
Alejandro Grimaldo García,Ferrán Torres García,Assist,1,0,0,1,1,Assist
Alejandro Grimaldo García,Ferrán Torres García,Cross,1,1,0,2,0,Cross
Alejandro Grimaldo García,Ferrán Torres García,Regular pass,2,0,0,2,0,Regular pass
Alejandro Grimaldo García,Jesús Navas González,Regular pass,1,1,0,2,0,Regular pass
Alejandro Grimaldo García,Jesús Navas González,Switch of play,1,0,0,1,0,Switch of play
Alejandro Grimaldo García,José Luis Sanmartín Mato,Assist,1,0,0,1,1,Assist
Alejandro Grimaldo García,José Luis Sanmartín Mato,Regular pass,1,1,0,2,0,Regular pass
Alejandro Grimaldo García,Martín Zubimendi Ibáñez,Regular pass,8,0,0,8,0,Regular pass
