Source,Target,pass_category,Weight,failed_passes,recovery_interception_pass,total_passes,assist_count,label
Antoine Griezmann,Benjamin Pavard,Regular pass,2,0,0,2,0,Regular pass
Antoine Griezmann,Blaise Matuidi,Regular pass,2,0,0,2,0,Regular pass
Antoine Griezmann,Corentin Tolisso,Regular pass,1,0,0,1,0,Regular pass
Antoine Griezmann,Kylian Mbappé Lottin,Free Kick,1,0,0,1,0,Free Kick
Antoine Griezmann,Lucas Hernández Pi,Regular pass,2,0,0,2,0,Regular pass
Antoine Griezmann,Paul Pogba,Regular pass,4,1,0,5,0,Regular pass
Antoine Griezmann,Raphaël Varane,Regular pass,1,0,0,1,0,Regular pass
Benjamin Pavard,Antoine Griezmann,Regular pass,1,0,0,1,0,Regular pass
Benjamin Pavard,Hugo Lloris,Regular pass,4,0,0,4,0,Regular pass
Benjamin Pavard,Kylian Mbappé Lottin,Regular pass,4,0,1,4,0,Regular pass
Benjamin Pavard,N''Golo Kanté,Throw-in,1,0,0,1,0,Throw-in
Benjamin Pavard,Olivier Giroud,Cross,1,1,0,2,0,Cross
Benjamin Pavard,Olivier Giroud,Regular pass,1,0,0,1,0,Regular pass
Benjamin Pavard,Paul Pogba,Regular pass,3,0,1,3,0,Regular pass
Benjamin Pavard,Paul Pogba,Throw-in,1,0,0,1,0,Throw-in
Benjamin Pavard,Raphaël Varane,Regular pass,6,0,1,6,0,Regular pass
Blaise Matuidi,Antoine Griezmann,Regular pass,2,0,1,2,0,Regular pass
Blaise Matuidi,Kylian Mbappé Lottin,Regular pass,4,0,0,4,0,Regular pass
Blaise Matuidi,Lucas Hernández Pi,Regular pass,2,1,0,3,0,Regular pass
Blaise Matuidi,N''Golo Kanté,Regular pass,7,0,1,7,0,Regular pass
Blaise Matuidi,N''Golo Kanté,Throw-in,1,0,0,1,0,Throw-in
Blaise Matuidi,Olivier Giroud,Regular pass,1,0,0,1,0,Regular pass
Blaise Matuidi,Paul Pogba,Regular pass,5,0,0,5,0,Regular pass
Blaise Matuidi,Samuel Yves Umtiti,Regular pass,2,0,0,2,0,Regular pass
Corentin Tolisso,N''Golo Kanté,Regular pass,4,0,0,4,0,Regular pass
Corentin Tolisso,Samuel Yves Umtiti,Regular pass,1,0,0,1,0,Regular pass
Florian Thauvin,Benjamin Pavard,Regular pass,1,0,0,1,0,Regular pass
Hugo Lloris,Benjamin Pavard,Regular pass,1,0,0,1,0,Regular pass
Hugo Lloris,N''Golo Kanté,Regular pass,4,0,0,4,0,Regular pass
Hugo Lloris,Nabil Fekir,Free Kick,1,0,0,1,0,Free Kick
Hugo Lloris,Olivier Giroud,Goal Kick,1,0,0,1,0,Goal Kick
Hugo Lloris,Olivier Giroud,Regular pass,3,4,0,7,0,Regular pass
Hugo Lloris,Paul Pogba,Regular pass,1,1,0,2,0,Regular pass
Hugo Lloris,Raphaël Varane,Regular pass,3,0,0,3,0,Regular pass
Hugo Lloris,Samuel Yves Umtiti,Goal Kick,1,0,0,1,0,Goal Kick
