match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_cross,pass_switch,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
8655,France,Antoine Griezmann,Raphaël Varane,0,0,1,"[60.0, 41.0]","[35.0, 47.0]",25.70992,2.9060476,Ground Pass,Kick Off,,,,,,,,From Kick Off
8655,France,Raphaël Varane,Benjamin Pavard,0,4,1,"[38.0, 50.0]","[48.0, 72.0]",24.166092,1.1441689,Ground Pass,,,,,,,,,From Kick Off
8655,France,Benjamin Pavard,Kylian Mbappé Lottin,0,6,1,"[50.0, 72.0]","[62.0, 78.0]",13.416408,0.4636476,Ground Pass,,,,,,,,True,From Kick Off
8655,France,Kylian Mbappé Lottin,Antoine Griezmann,0,13,1,"[105.0, 74.0]","[107.0, 50.0]",24.083189,-1.487655,Ground Pass,,True,,,,,,,From Kick Off
8655,France,Benjamin Pavard,Blaise Matuidi,0,17,1,"[78.0, 61.0]","[90.0, 44.0]",20.808653,-0.95613337,High Pass,Recovery,,,,,,,,From Kick Off
8655,France,Blaise Matuidi,,0,19,1,"[92.0, 52.0]","[95.0, 61.0]",9.486833,1.2490457,High Pass,,,,Incomplete,,,,True,From Kick Off
8655,France,Paul Pogba,,0,23,1,"[84.0, 58.0]","[86.0, 56.0]",2.828427,-0.7853982,High Pass,Recovery,,,Incomplete,,,,True,From Kick Off
8655,France,Benjamin Pavard,Raphaël Varane,0,36,1,"[71.0, 80.0]","[48.0, 75.0]",23.537205,-2.927532,Low Pass,Throw-in,,,,,,,,From Throw In
8655,France,Raphaël Varane,Samuel Yves Umtiti,0,39,1,"[49.0, 69.0]","[46.0, 39.0]",30.149628,-1.670465,Ground Pass,,,,,,,,,From Throw In
8655,France,Samuel Yves Umtiti,Lucas Hernández Pi,0,46,1,"[56.0, 32.0]","[59.0, 3.0]",29.15476,-1.4677147,Ground Pass,,,,,,,,,From Throw In
8655,France,Lucas Hernández Pi,Samuel Yves Umtiti,0,51,1,"[62.0, 2.0]","[47.0, 11.0]",17.492855,2.6011732,Ground Pass,,,,,,,,True,From Throw In
8655,France,Samuel Yves Umtiti,Raphaël Varane,0,54,1,"[49.0, 12.0]","[46.0, 49.0]",37.12142,1.6517004,Ground Pass,,,,,,,,,From Throw In
8655,France,Raphaël Varane,Benjamin Pavard,1,0,1,"[56.0, 53.0]","[77.0, 79.0]",33.42155,0.8913825,Ground Pass,,,,,,,,,From Throw In
8655,France,Benjamin Pavard,Paul Pogba,1,3,1,"[74.0, 76.0]","[69.0, 64.0]",13.0,-1.9655875,Ground Pass,,,,,,,,,From Throw In
8655,France,Paul Pogba,Benjamin Pavard,1,4,1,"[69.0, 64.0]","[67.0, 72.0]",8.246211,1.815775,Ground Pass,,,,,,,,,From Throw In
8655,France,Benjamin Pavard,Raphaël Varane,1,7,1,"[62.0, 70.0]","[51.0, 65.0]",12.083046,-2.714965,Ground Pass,,,,,,,,,From Throw In
8655,France,Raphaël Varane,N''Golo Kanté,1,15,1,"[58.0, 55.0]","[52.0, 45.0]",11.661903,-2.1112158,Ground Pass,,,,,,,,,From Throw In
8655,France,N''Golo Kanté,Raphaël Varane,1,20,1,"[52.0, 40.0]","[53.0, 53.0]",13.038404,1.4940244,Ground Pass,,,,,,,,,From Throw In
8655,France,Raphaël Varane,Benjamin Pavard,1,23,1,"[59.0, 53.0]","[69.0, 78.0]",26.925823,1.19029,Ground Pass,,,,,,,,,From Throw In
8655,France,Benjamin Pavard,Kylian Mbappé Lottin,1,25,1,"[69.0, 78.0]","[79.0, 78.0]",10.0,0.0,Ground Pass,,,,,,,,,From Throw In
8655,France,Kylian Mbappé Lottin,Raphaël Varane,1,29,1,"[68.0, 74.0]","[52.0, 76.0]",16.124516,3.0172377,Ground Pass,,,,,,,,,From Throw In
8655,France,Raphaël Varane,N''Golo Kanté,1,31,1,"[51.0, 75.0]","[46.0, 51.0]",24.5153,-1.7761917,Ground Pass,,,,,,,,,From Throw In
8655,France,N''Golo Kanté,Samuel Yves Umtiti,1,35,1,"[48.0, 43.0]","[52.0, 22.0]",21.377558,-1.3825748,Ground Pass,,,,,,,,,From Throw In
8655,France,Samuel Yves Umtiti,N''Golo Kanté,1,37,1,"[50.0, 28.0]","[32.0, 40.0]",21.633308,2.55359,Ground Pass,,,,,,,,,From Throw In
8655,France,N''Golo Kanté,Raphaël Varane,1,39,1,"[32.0, 40.0]","[38.0, 55.0]",16.155495,1.19029,Ground Pass,,,,,,,,,From Throw In
8655,France,Raphaël Varane,N''Golo Kanté,1,43,1,"[41.0, 55.0]","[32.0, 53.0]",9.219544,-2.9229238,Ground Pass,,,,,,,,,From Throw In
8655,France,N''Golo Kanté,Benjamin Pavard,1,46,1,"[32.0, 55.0]","[56.0, 78.0]",33.24154,0.76412475,High Pass,,,,,,,,,From Throw In
8655,France,Benjamin Pavard,Raphaël Varane,1,49,1,"[55.0, 78.0]","[36.0, 77.0]",19.026299,-3.0890095,Ground Pass,,,,,,,,True,From Throw In
8655,France,Raphaël Varane,Hugo Lloris,1,51,1,"[33.0, 75.0]","[8.0, 50.0]",35.35534,-2.3561945,Ground Pass,,,,,,,,,From Throw In
8655,France,Hugo Lloris,Raphaël Varane,1,58,1,"[14.0, 42.0]","[22.0, 63.0]",22.472204,1.2068174,Ground Pass,,,,,,,,,From Throw In
8655,France,Raphaël Varane,Benjamin Pavard,2,0,1,"[22.0, 64.0]","[41.0, 78.0]",23.600847,0.63502675,Ground Pass,,,,,,,,True,From Throw In
8655,France,Benjamin Pavard,Olivier Giroud,2,4,1,"[47.0, 77.0]","[63.0, 56.0]",26.400757,-0.9197196,Ground Pass,,,,,,,,,From Throw In
8655,France,Olivier Giroud,Blaise Matuidi,2,5,1,"[63.0, 56.0]","[56.0, 44.0]",13.892444,-2.0988708,Ground Pass,,,,Incomplete,,,,,From Throw In
8655,France,N''Golo Kanté,Lucas Hernández Pi,2,11,1,"[47.0, 53.0]","[53.0, 4.0]",49.365982,-1.4489539,High Pass,,,True,,,,,,From Throw In
8655,France,Lucas Hernández Pi,N''Golo Kanté,2,18,1,"[57.0, 5.0]","[53.0, 25.0]",20.396078,1.7681919,Ground Pass,,,,,,,,,From Throw In
8655,France,N''Golo Kanté,Samuel Yves Umtiti,2,19,1,"[53.0, 25.0]","[44.0, 19.0]",10.816654,-2.55359,Ground Pass,,,,,,,,,From Throw In
8655,France,Samuel Yves Umtiti,Raphaël Varane,2,21,1,"[44.0, 19.0]","[42.0, 46.0]",27.073973,1.6447353,Ground Pass,,,,,,,,,From Throw In
8655,France,Raphaël Varane,N''Golo Kanté,2,30,1,"[56.0, 55.0]","[40.0, 43.0]",20.0,-2.4980915,Ground Pass,,,,,,,,,From Throw In
8655,France,N''Golo Kanté,Benjamin Pavard,2,38,1,"[44.0, 42.0]","[75.0, 78.0]",47.507893,0.85988694,High Pass,,,,,,,,,From Throw In
8655,France,Benjamin Pavard,Kylian Mbappé Lottin,2,40,1,"[75.0, 78.0]","[80.0, 73.0]",7.071068,-0.7853982,Ground Pass,,,,Incomplete,,,,,From Throw In
8655,France,Hugo Lloris,,6,38,1,"[7.0, 43.0]","[78.0, 42.0]",71.00704,-0.014083575,High Pass,Goal Kick,,,Incomplete,,,,,From Goal Kick
8655,France,Lucas Hernández Pi,Blaise Matuidi,6,45,1,"[55.0, 28.0]","[66.0, 20.0]",13.601471,-0.6287963,Ground Pass,,,,Incomplete,,,,True,From Goal Kick
8655,France,Benjamin Pavard,Antoine Griezmann,8,54,1,"[64.0, 75.0]","[66.0, 44.0]",31.06445,-1.5063695,Ground Pass,,,,Incomplete,,,,,From Throw In
8655,France,Samuel Yves Umtiti,Hugo Lloris,9,25,1,"[17.0, 18.0]","[9.0, 33.0]",17.0,2.0607536,Ground Pass,,,,,,,,,Regular Play
8655,France,Hugo Lloris,Raphaël Varane,9,29,1,"[11.0, 36.0]","[18.0, 66.0]",30.805843,1.3415644,Ground Pass,,,,,,,,,Regular Play
8655,France,Raphaël Varane,Olivier Giroud,9,42,1,"[35.0, 69.0]","[79.0, 56.0]",45.88028,-0.28728145,High Pass,,,,,,,,,Regular Play
8655,France,Benjamin Pavard,Blaise Matuidi,9,48,1,"[58.0, 65.0]","[65.0, 52.0]",14.764823,-1.076855,Ground Pass,Recovery,,,,,,,,Regular Play
8655,France,Blaise Matuidi,Antoine Griezmann,9,49,1,"[65.0, 52.0]","[75.0, 53.0]",10.049875,0.09966865,Ground Pass,,,,,,,,,Regular Play
8655,France,Antoine Griezmann,Lucas Hernández Pi,9,52,1,"[89.0, 34.0]","[106.0, 4.0]",34.48188,-1.0552473,Ground Pass,,,,,,,,,Regular Play
8655,France,Lucas Hernández Pi,,9,56,1,"[106.0, 4.0]","[108.0, 38.0]",34.058773,1.5120405,High Pass,,True,,Incomplete,,,,,Regular Play
8655,France,Paul Pogba,,9,59,1,"[88.0, 33.0]","[98.0, 26.0]",12.206555,-0.61072594,High Pass,Recovery,,,Incomplete,,,,,Regular Play
8655,France,Blaise Matuidi,N''Golo Kanté,10,4,1,"[82.0, 19.0]","[77.0, 31.0]",13.0,1.9655875,Ground Pass,Recovery,,,,,,,,Regular Play
8655,France,N''Golo Kanté,Paul Pogba,10,5,1,"[77.0, 31.0]","[82.0, 19.0]",13.0,-1.1760052,Ground Pass,,,,,,,,,Regular Play
8655,France,Paul Pogba,Kylian Mbappé Lottin,10,8,1,"[82.0, 19.0]","[111.0, 31.0]",31.38471,0.39234015,High Pass,,,,,,,,,Regular Play
8655,France,Kylian Mbappé Lottin,Olivier Giroud,10,9,1,"[111.0, 31.0]","[114.0, 46.0]",15.297058,1.3734008,High Pass,,,,Incomplete,,,,,Regular Play
8655,France,Raphaël Varane,,11,10,1,"[32.0, 50.0]","[93.0, 16.0]",69.83552,-0.5084893,High Pass,Recovery,,,Incomplete,,,,,From Throw In
8655,France,Olivier Giroud,Benjamin Pavard,11,35,1,"[48.0, 53.0]","[40.0, 52.0]",8.062258,-3.0172377,Ground Pass,Recovery,,,,,,,,Regular Play
8655,France,Benjamin Pavard,Samuel Yves Umtiti,11,36,1,"[40.0, 52.0]","[28.0, 42.0]",15.6205,-2.4468544,Ground Pass,,,,,,,,,Regular Play
8655,France,Samuel Yves Umtiti,Blaise Matuidi,11,38,1,"[28.0, 41.0]","[45.0, 33.0]",18.788294,-0.43984258,Ground Pass,,,,,,,,True,Regular Play
8655,France,N''Golo Kanté,Antoine Griezmann,12,10,1,"[28.0, 19.0]","[35.0, 17.0]",7.28011,-0.27829966,Ground Pass,Interception,,,,,,,,From Counter
8655,France,Antoine Griezmann,Paul Pogba,12,11,1,"[35.0, 17.0]","[39.0, 25.0]",8.944272,1.1071488,Ground Pass,,,,,,,,True,From Counter
8655,France,Paul Pogba,Kylian Mbappé Lottin,12,15,1,"[57.0, 33.0]","[105.0, 40.0]",48.507732,0.1448125,Low Pass,,,,Incomplete,,,,,From Counter
8655,France,Lucas Hernández Pi,Olivier Giroud,13,22,1,"[24.0, 1.0]","[41.0, 3.0]",17.117243,0.11710875,High Pass,Throw-in,,,,,,,,From Throw In
8655,France,Samuel Yves Umtiti,Raphaël Varane,13,46,1,"[26.0, 17.0]","[24.0, 45.0]",28.071337,1.6421038,Ground Pass,Free Kick,,,,,,,,From Free Kick
8655,France,Raphaël Varane,Benjamin Pavard,13,51,1,"[34.0, 50.0]","[42.0, 76.0]",27.202942,1.2722974,Ground Pass,,,,,,,,,From Free Kick
8655,France,Benjamin Pavard,Kylian Mbappé Lottin,13,53,1,"[42.0, 76.0]","[52.0, 77.0]",10.049875,0.09966865,Ground Pass,,,,,,,,,From Free Kick
8655,France,Kylian Mbappé Lottin,Paul Pogba,13,55,1,"[54.0, 77.0]","[61.0, 72.0]",8.602325,-0.6202495,Ground Pass,,,,,,,,,From Free Kick
8655,France,Paul Pogba,Benjamin Pavard,13,56,1,"[61.0, 72.0]","[46.0, 71.0]",15.033297,-3.0750246,Ground Pass,,,,,,,,,From Free Kick
8655,France,Benjamin Pavard,Samuel Yves Umtiti,13,58,1,"[46.0, 71.0]","[39.0, 34.0]",37.65634,-1.7577755,Ground Pass,,,,,,,,,From Free Kick
8655,France,Samuel Yves Umtiti,Blaise Matuidi,14,7,1,"[64.0, 27.0]","[77.0, 25.0]",13.152946,-0.15264933,Ground Pass,,,,,,,,,From Free Kick
8655,France,Blaise Matuidi,Lucas Hernández Pi,14,8,1,"[77.0, 25.0]","[77.0, 2.0]",23.0,-1.5707964,Low Pass,,,,,,,,,From Free Kick
8655,France,Lucas Hernández Pi,Antoine Griezmann,14,14,1,"[83.0, 3.0]","[80.0, 12.0]",9.486833,1.8925469,Ground Pass,,,,,,,,,From Free Kick
8655,France,Antoine Griezmann,N''Golo Kanté,14,15,1,"[80.0, 12.0]","[69.0, 6.0]",12.529964,-2.642246,Ground Pass,,,,,,,,True,From Free Kick
8655,France,N''Golo Kanté,Blaise Matuidi,14,17,1,"[69.0, 6.0]","[83.0, 12.0]",15.231546,0.4048918,Ground Pass,,,,,,,,True,From Free Kick
8655,France,Blaise Matuidi,Olivier Giroud,14,20,1,"[91.0, 14.0]","[97.0, 22.0]",10.0,0.9272952,Low Pass,,,,,,,,True,From Free Kick
8655,France,Raphaël Varane,Lucas Hernández Pi,14,31,1,"[22.0, 29.0]","[32.0, 20.0]",13.453624,-0.7328151,High Pass,Recovery,,,,,,,,From Free Kick
8655,France,Lucas Hernández Pi,Samuel Yves Umtiti,14,32,1,"[32.0, 20.0]","[26.0, 23.0]",6.708204,2.6779451,High Pass,,,,,,,,,From Free Kick
8655,France,Samuel Yves Umtiti,Lucas Hernández Pi,14,34,1,"[26.0, 23.0]","[30.0, 14.0]",9.848858,-1.152572,Low Pass,,,,,,,,,From Free Kick
8655,France,Blaise Matuidi,Paul Pogba,14,40,1,"[40.0, 2.0]","[38.0, 11.0]",9.219544,1.7894653,Ground Pass,,,,,,,,,Regular Play
8655,France,Paul Pogba,Raphaël Varane,14,48,1,"[23.0, 4.0]","[12.0, 46.0]",43.416588,1.8269477,Ground Pass,,,True,,,,,,Regular Play
8655,France,Raphaël Varane,Hugo Lloris,14,51,1,"[12.0, 46.0]","[4.0, 40.0]",10.0,-2.4980915,Ground Pass,,,,,,,,,Regular Play
8655,France,Hugo Lloris,Benjamin Pavard,14,52,1,"[4.0, 40.0]","[46.0, 64.0]",48.373547,0.5191461,High Pass,,,,Incomplete,,,,,Regular Play
