match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_cross,pass_cut_back,pass_switch,pass_deflected,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
8658,France,Raphaël Varane,,0,13,1,"[48.0, 50.0]","[48.0, 60.0]",10.0,1.5707964,High Pass,Recovery,,,,,Incomplete,,,,True,From Kick Off
8658,France,Benjamin Pavard,N''Golo Kanté,0,54,1,"[49.0, 80.0]","[46.0, 61.0]",19.235384,-1.7273982,Low Pass,Throw-in,,,,,,,,,,From Throw In
8658,France,N''Golo Kanté,Paul Pogba,0,56,1,"[65.0, 64.0]","[66.0, 69.0]",5.0990195,1.3734008,High Pass,,,,,,Incomplete,,,,True,From Throw In
8658,France,Antoine Griezmann,Kylian Mbappé Lottin,1,1,1,"[63.0, 73.0]","[65.0, 79.0]",6.3245554,1.2490457,Ground Pass,,,,,,,,,,,From Throw In
8658,France,Benjamin Pavard,Raphaël Varane,1,10,1,"[58.0, 79.0]","[26.0, 69.0]",33.526108,-2.8387077,Low Pass,Throw-in,,,,,,,,,,From Throw In
8658,France,Raphaël Varane,Hugo Lloris,1,14,1,"[26.0, 69.0]","[8.0, 43.0]",31.622776,-2.176341,Ground Pass,,,,,,,,,,True,From Throw In
8658,France,Hugo Lloris,Samuel Yves Umtiti,1,17,1,"[8.0, 43.0]","[19.0, 29.0]",17.804493,-0.9048271,Ground Pass,,,,,,,,,,,From Throw In
8658,France,Samuel Yves Umtiti,Blaise Matuidi,1,36,1,"[41.0, 30.0]","[56.0, 28.0]",15.132746,-0.13255154,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Blaise Matuidi,Samuel Yves Umtiti,1,39,1,"[55.0, 27.0]","[39.0, 23.0]",16.492422,-2.896614,Ground Pass,,,,,,,,,,True,Regular Play
8658,France,Samuel Yves Umtiti,Olivier Giroud,1,41,1,"[42.0, 25.0]","[69.0, 26.0]",27.018513,0.037020117,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Olivier Giroud,Blaise Matuidi,1,42,1,"[69.0, 26.0]","[65.0, 26.0]",4.0,3.1415927,Low Pass,,,,,,,,,,,Regular Play
8658,France,Blaise Matuidi,Olivier Giroud,1,43,1,"[65.0, 26.0]","[61.0, 31.0]",6.4031243,2.2455373,Low Pass,,,,,,,,,,,Regular Play
8658,France,Olivier Giroud,Raphaël Varane,1,45,1,"[61.0, 31.0]","[45.0, 48.0]",23.345236,2.3259008,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Raphaël Varane,Paul Pogba,1,47,1,"[45.0, 48.0]","[55.0, 66.0]",20.59126,1.0636978,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Paul Pogba,Antoine Griezmann,1,51,1,"[57.0, 76.0]","[98.0, 66.0]",42.201897,-0.2392316,High Pass,,,,,,Incomplete,,,,,Regular Play
8658,France,Kylian Mbappé Lottin,Benjamin Pavard,2,42,1,"[74.0, 79.0]","[62.0, 75.0]",12.649111,-2.819842,High Pass,Throw-in,,,,,Incomplete,,,,,From Throw In
8658,France,Samuel Yves Umtiti,,2,53,1,"[2.0, 62.0]","[7.0, 80.0]",18.681541,1.2998495,Ground Pass,,,,,,Out,,,,True,From Throw In
8658,France,Kylian Mbappé Lottin,,3,19,1,"[12.0, 64.0]","[40.0, 80.0]",32.24903,0.5191461,High Pass,Recovery,,,,,Out,,,,,From Throw In
8658,France,Blaise Matuidi,N''Golo Kanté,4,19,1,"[11.0, 5.0]","[8.0, 15.0]",10.440307,1.8622531,Ground Pass,Recovery,,,,,,,,,,Regular Play
8658,France,N''Golo Kanté,Lucas Hernández Pi,4,20,1,"[9.0, 15.0]","[11.0, 3.0]",12.165525,-1.4056476,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Lucas Hernández Pi,N''Golo Kanté,4,21,1,"[11.0, 3.0]","[8.0, 13.0]",10.440307,1.8622531,Ground Pass,,,,,,,,,,True,Regular Play
8658,France,N''Golo Kanté,Olivier Giroud,4,24,1,"[9.0, 16.0]","[55.0, 18.0]",46.043457,0.043450896,High Pass,,,,,,Incomplete,,,,,Regular Play
8658,France,N''Golo Kanté,Samuel Yves Umtiti,4,53,1,"[26.0, 4.0]","[14.0, 14.0]",15.6205,2.4468544,Ground Pass,,,,,,,,,,True,Regular Play
8658,France,Samuel Yves Umtiti,N''Golo Kanté,4,54,1,"[14.0, 13.0]","[15.0, 11.0]",2.236068,-1.1071488,Ground Pass,,,,,,Incomplete,,,,,Regular Play
8658,France,Hugo Lloris,Raphaël Varane,5,13,1,"[4.0, 38.0]","[15.0, 65.0]",29.15476,1.1839206,Ground Pass,Goal Kick,,,,,,,,,,From Goal Kick
8658,France,Raphaël Varane,Paul Pogba,5,18,1,"[26.0, 64.0]","[35.0, 55.0]",12.727922,-0.7853982,Ground Pass,,,,,,,,,,,From Goal Kick
8658,France,Paul Pogba,Samuel Yves Umtiti,5,20,1,"[34.0, 55.0]","[26.0, 29.0]",27.202942,-1.8692952,Ground Pass,,,,,,,,,,True,From Goal Kick
8658,France,Samuel Yves Umtiti,N''Golo Kanté,5,45,1,"[47.0, 8.0]","[55.0, 12.0]",8.944272,0.4636476,Ground Pass,Free Kick,,,,,,,,,,From Free Kick
8658,France,N''Golo Kanté,Samuel Yves Umtiti,5,45,1,"[55.0, 12.0]","[47.0, 10.0]",8.246211,-2.896614,Ground Pass,,,,,,,,,,,From Free Kick
8658,France,Samuel Yves Umtiti,N''Golo Kanté,5,46,1,"[47.0, 10.0]","[55.0, 10.0]",8.0,0.0,Ground Pass,,,,,,,,,,,From Free Kick
8658,France,N''Golo Kanté,Paul Pogba,5,48,1,"[54.0, 15.0]","[45.0, 41.0]",27.513634,1.9040406,Ground Pass,,,,,,,,,,,From Free Kick
8658,France,Paul Pogba,Benjamin Pavard,5,53,1,"[54.0, 46.0]","[60.0, 74.0]",28.635643,1.359703,Ground Pass,,,,,,,,,,,From Free Kick
8658,France,Benjamin Pavard,Raphaël Varane,5,57,1,"[57.0, 71.0]","[46.0, 64.0]",13.038404,-2.5748634,Ground Pass,,,,,,,,,,True,From Free Kick
8658,France,Raphaël Varane,Samuel Yves Umtiti,5,59,1,"[45.0, 60.0]","[41.0, 31.0]",29.274563,-1.7078625,Ground Pass,,,,,,,,,,True,From Free Kick
8658,France,Samuel Yves Umtiti,Blaise Matuidi,6,2,1,"[45.0, 30.0]","[55.0, 5.0]",26.925823,-1.19029,Ground Pass,,,,,,,,,,,From Free Kick
8658,France,Blaise Matuidi,Lucas Hernández Pi,6,5,1,"[57.0, 4.0]","[99.0, 1.0]",42.107006,-0.071307465,High Pass,,,,,,Out,,,,True,From Free Kick
8658,France,N''Golo Kanté,,8,7,1,"[20.0, 7.0]","[22.0, 7.0]",2.0,0.0,High Pass,,,,,,Incomplete,,,,,From Corner
8658,France,Olivier Giroud,Paul Pogba,8,20,1,"[25.0, 33.0]","[27.0, 27.0]",6.3245554,-1.2490457,Low Pass,Recovery,,,,,Incomplete,,,,,From Throw In
8658,France,Hugo Lloris,Olivier Giroud,8,48,1,"[29.0, 36.0]","[94.0, 43.0]",65.37584,0.10727885,High Pass,Free Kick,,,,,,,,,,From Free Kick
8658,France,Olivier Giroud,,8,51,1,"[94.0, 43.0]","[85.0, 40.0]",9.486833,-2.819842,High Pass,,,,,,Incomplete,,,,,From Free Kick
8658,France,Hugo Lloris,N''Golo Kanté,9,32,1,"[10.0, 32.0]","[33.0, 22.0]",25.079872,-0.41012734,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Hugo Lloris,Olivier Giroud,11,16,1,"[7.0, 42.0]","[76.0, 49.0]",69.354164,0.10110337,High Pass,Goal Kick,,,,,,,,,,From Goal Kick
8658,France,Olivier Giroud,Paul Pogba,11,20,1,"[76.0, 49.0]","[68.0, 53.0]",8.944272,2.6779451,Low Pass,,,,,,,,,,,From Goal Kick
8658,France,Paul Pogba,Lucas Hernández Pi,11,21,1,"[68.0, 53.0]","[80.0, 20.0]",35.1141,-1.2220253,High Pass,,,,,,,,,,,From Goal Kick
8658,France,Lucas Hernández Pi,Blaise Matuidi,11,42,1,"[101.0, 1.0]","[104.0, 12.0]",11.401754,1.3045443,Low Pass,Throw-in,,,,,Incomplete,,,,,From Throw In
8658,France,Paul Pogba,Samuel Yves Umtiti,11,47,1,"[78.0, 5.0]","[62.0, 6.0]",16.03122,3.0791738,Ground Pass,Recovery,,,,,,,,,,From Throw In
8658,France,Samuel Yves Umtiti,Raphaël Varane,11,48,1,"[63.0, 8.0]","[57.0, 34.0]",26.683329,1.7975951,Ground Pass,,,,,,,,,,,From Throw In
8658,France,Raphaël Varane,Benjamin Pavard,11,52,1,"[58.0, 47.0]","[67.0, 78.0]",32.280025,1.2882414,Ground Pass,,,,,,,,,,,From Throw In
8658,France,Benjamin Pavard,Raphaël Varane,11,56,1,"[67.0, 70.0]","[54.0, 64.0]",14.3178215,-2.709185,Ground Pass,,,,,,,,,,,From Throw In
8658,France,Raphaël Varane,Benjamin Pavard,11,59,1,"[51.0, 60.0]","[58.0, 66.0]",9.219544,0.7086263,Ground Pass,,,,,,,,,,,From Throw In
8658,France,Benjamin Pavard,Hugo Lloris,12,2,1,"[49.0, 67.0]","[14.0, 52.0]",38.078865,-2.7367008,Ground Pass,,,,,,,,,,True,From Throw In
8658,France,Hugo Lloris,Blaise Matuidi,12,7,1,"[14.0, 43.0]","[72.0, 28.0]",59.908264,-0.25307566,High Pass,,,,,,Incomplete,,,,,From Throw In
8658,France,Blaise Matuidi,Lucas Hernández Pi,12,17,1,"[54.0, 28.0]","[56.0, 3.0]",25.079872,-1.4909663,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Lucas Hernández Pi,Antoine Griezmann,12,19,1,"[56.0, 3.0]","[66.0, 6.0]",10.440307,0.2914568,Ground Pass,,,,,,,,,,True,Regular Play
8658,France,Antoine Griezmann,Blaise Matuidi,12,20,1,"[66.0, 6.0]","[52.0, 9.0]",14.3178215,2.9304993,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Blaise Matuidi,Samuel Yves Umtiti,12,22,1,"[52.0, 9.0]","[44.0, 26.0]",18.788294,2.010639,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Samuel Yves Umtiti,Raphaël Varane,12,24,1,"[44.0, 26.0]","[46.0, 49.0]",23.086792,1.484058,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Raphaël Varane,Kylian Mbappé Lottin,12,28,1,"[52.0, 53.0]","[65.0, 79.0]",29.068884,1.1071488,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Benjamin Pavard,Raphaël Varane,12,38,1,"[62.0, 79.0]","[43.0, 74.0]",19.646883,-2.884269,Low Pass,Throw-in,,,,,,,,,,From Throw In
8658,France,Raphaël Varane,Samuel Yves Umtiti,12,41,1,"[42.0, 71.0]","[41.0, 34.0]",37.01351,-1.5978168,Ground Pass,,,,,,,,,,,From Throw In
8658,France,Samuel Yves Umtiti,Olivier Giroud,12,48,1,"[56.0, 27.0]","[120.0, 74.0]",79.40403,0.6334259,High Pass,,,,True,,Out,,,,True,From Throw In
8658,France,Hugo Lloris,,14,9,1,"[7.0, 44.0]","[77.0, 54.0]",70.71068,0.14189705,High Pass,Goal Kick,,,,,Incomplete,,,,,From Goal Kick
8658,France,Lucas Hernández Pi,N''Golo Kanté,15,47,1,"[36.0, 3.0]","[35.0, 12.0]",9.055386,1.6814536,Ground Pass,,,,,,,,,,True,Regular Play
8658,France,N''Golo Kanté,Blaise Matuidi,15,47,1,"[35.0, 12.0]","[43.0, 5.0]",10.630146,-0.71883,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Blaise Matuidi,Paul Pogba,15,49,1,"[44.0, 7.0]","[50.0, 31.0]",24.738634,1.3258177,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Paul Pogba,Kylian Mbappé Lottin,15,51,1,"[48.0, 34.0]","[56.0, 75.0]",41.773197,1.3780956,Low Pass,,,,True,,,,,,,Regular Play
8658,France,Kylian Mbappé Lottin,,15,54,1,"[55.0, 73.0]","[56.0, 72.0]",1.4142135,-0.7853982,Ground Pass,,,,,,Incomplete,,,,True,Regular Play
8658,France,Kylian Mbappé Lottin,Raphaël Varane,15,56,1,"[45.0, 63.0]","[29.0, 54.0]",18.35756,-2.629203,Ground Pass,Recovery,,,,,,,,,,Regular Play
8658,France,Raphaël Varane,N''Golo Kanté,15,59,1,"[27.0, 53.0]","[39.0, 31.0]",25.059929,-1.0714496,Ground Pass,,,,,,,,,,True,Regular Play
8658,France,N''Golo Kanté,Blaise Matuidi,16,2,1,"[45.0, 30.0]","[53.0, 29.0]",8.062258,-0.124354996,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Blaise Matuidi,N''Golo Kanté,16,3,1,"[53.0, 29.0]","[46.0, 23.0]",9.219544,-2.4329665,Ground Pass,,,,,,,,,,True,Regular Play
8658,France,N''Golo Kanté,Kylian Mbappé Lottin,16,5,1,"[49.0, 24.0]","[98.0, 50.0]",55.470715,0.48783645,High Pass,,,,,,Incomplete,,,,,Regular Play
8658,France,Olivier Giroud,Raphaël Varane,16,20,1,"[91.0, 78.0]","[57.0, 64.0]",36.769554,-2.7509856,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Raphaël Varane,Lucas Hernández Pi,16,24,1,"[57.0, 55.0]","[66.0, 7.0]",48.83646,-1.3854483,Ground Pass,,,,True,,,,,,,Regular Play
8658,France,Lucas Hernández Pi,Olivier Giroud,16,29,1,"[79.0, 6.0]","[102.0, 44.0]",44.418465,1.0265158,High Pass,,,,,,Incomplete,,,,,Regular Play
8658,France,Antoine Griezmann,Kylian Mbappé Lottin,16,33,1,"[95.0, 51.0]","[107.0, 66.0]",19.209373,0.8960554,Low Pass,Recovery,,,,,,,,,,Regular Play
8658,France,Kylian Mbappé Lottin,Antoine Griezmann,16,40,1,"[118.0, 61.0]","[115.0, 56.0]",5.8309517,-2.1112158,Ground Pass,,,,,,Incomplete,,,,,Regular Play
8658,France,Raphaël Varane,Antoine Griezmann,16,52,1,"[81.0, 69.0]","[92.0, 56.0]",17.029387,-0.8685394,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Antoine Griezmann,,17,55,1,"[93.0, 56.0]","[113.0, 40.0]",25.612497,-0.67474097,High Pass,Free Kick,,,,,Incomplete,,,,,From Free Kick
8658,France,Lucas Hernández Pi,N''Golo Kanté,19,42,1,"[20.0, 18.0]","[33.0, 17.0]",13.038404,-0.07677189,Ground Pass,Interception,,,,,,,,,,Regular Play
8658,France,N''Golo Kanté,Blaise Matuidi,19,45,1,"[34.0, 12.0]","[34.0, 2.0]",10.0,-1.5707964,Ground Pass,,,,,,,,,,True,Regular Play
8658,France,Blaise Matuidi,Olivier Giroud,19,45,1,"[34.0, 2.0]","[45.0, 10.0]",13.601471,0.6287963,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Hugo Lloris,Olivier Giroud,21,17,1,"[6.0, 42.0]","[79.0, 39.0]",73.061615,-0.04107278,High Pass,Goal Kick,,,,,,,,,,From Goal Kick
8658,France,Lucas Hernández Pi,Samuel Yves Umtiti,21,45,1,"[91.0, 1.0]","[54.0, 3.0]",37.054016,3.0875912,High Pass,Throw-in,,,,,,,,,,From Throw In
8658,France,Samuel Yves Umtiti,Hugo Lloris,21,49,1,"[48.0, 3.0]","[25.0, 30.0]",35.468296,2.2763646,Ground Pass,,,,,,,,,,,From Throw In
8658,France,Hugo Lloris,,21,52,1,"[25.0, 30.0]","[79.0, 3.0]",60.373837,-0.4636476,High Pass,,,,,,Incomplete,,,,True,From Throw In
8658,France,Blaise Matuidi,,21,57,1,"[67.0, 4.0]","[87.0, 25.0]",29.0,0.8097836,High Pass,Recovery,,,,,Incomplete,,,,,From Throw In
8658,France,Blaise Matuidi,Paul Pogba,22,21,1,"[57.0, 25.0]","[64.0, 35.0]",12.206555,0.9600704,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Paul Pogba,Kylian Mbappé Lottin,22,23,1,"[64.0, 35.0]","[90.0, 50.0]",30.016663,0.5232783,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Hugo Lloris,,24,8,1,"[7.0, 43.0]","[77.0, 50.0]",70.34913,0.09966865,High Pass,Goal Kick,,,,,Incomplete,,,,,From Goal Kick
8658,France,Antoine Griezmann,Lucas Hernández Pi,24,17,1,"[81.0, 27.0]","[85.0, 3.0]",24.33105,-1.4056476,Ground Pass,,,,,,,,,,True,From Goal Kick
8658,France,Lucas Hernández Pi,Antoine Griezmann,24,18,1,"[85.0, 3.0]","[110.0, 16.0]",28.178005,0.47951928,Ground Pass,,,,,,Incomplete,,,,,From Goal Kick
8658,France,Blaise Matuidi,Antoine Griezmann,24,51,1,"[68.0, 6.0]","[81.0, 26.0]",23.853722,0.9944211,High Pass,Recovery,,,,,,,,,,From Throw In
8658,France,Antoine Griezmann,Kylian Mbappé Lottin,24,53,1,"[81.0, 26.0]","[80.0, 55.0]",29.017237,1.6052654,High Pass,,,,,,Incomplete,,,,True,From Throw In
8658,France,Benjamin Pavard,,24,58,1,"[68.0, 78.0]","[94.0, 54.0]",35.383614,-0.7454195,High Pass,Recovery,,,,,Incomplete,,,,,From Throw In
8658,France,Samuel Yves Umtiti,Olivier Giroud,25,12,1,"[43.0, 17.0]","[66.0, 24.0]",24.04163,0.29544082,High Pass,Recovery,,,,,,,,,,From Counter
8658,France,Olivier Giroud,,25,14,1,"[66.0, 24.0]","[73.0, 25.0]",7.071068,0.14189705,High Pass,,,,,,Incomplete,,,,,From Counter
8658,France,Raphaël Varane,Samuel Yves Umtiti,25,34,1,"[32.0, 51.0]","[32.0, 16.0]",35.0,-1.5707964,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Samuel Yves Umtiti,,25,38,1,"[32.0, 5.0]","[35.0, 4.0]",3.1622777,-0.32175055,High Pass,,,,,,Incomplete,,,,,Regular Play
8658,France,Lucas Hernández Pi,Olivier Giroud,25,57,1,"[40.0, 1.0]","[64.0, 4.0]",24.186773,0.124354996,High Pass,Throw-in,,,,,,,,,,From Throw In
8658,France,Lucas Hernández Pi,Blaise Matuidi,26,26,1,"[53.0, 1.0]","[67.0, 12.0]",17.804493,0.66596925,High Pass,Throw-in,,,,,,,,,,From Throw In
8658,France,Blaise Matuidi,Olivier Giroud,26,27,1,"[67.0, 12.0]","[79.0, 6.0]",13.416408,-0.4636476,Low Pass,,,,,,Incomplete,,,,,From Throw In
8658,France,Antoine Griezmann,Benjamin Pavard,26,30,1,"[63.0, 26.0]","[48.0, 72.0]",48.38388,1.886011,Ground Pass,,,,True,,,,,,,From Throw In
8658,France,Benjamin Pavard,Kylian Mbappé Lottin,26,36,1,"[54.0, 75.0]","[67.0, 79.0]",13.601471,0.29849893,Ground Pass,,,,,,,,,,,From Throw In
8658,France,Kylian Mbappé Lottin,Benjamin Pavard,26,37,1,"[67.0, 79.0]","[70.0, 71.0]",8.5440035,-1.2120256,Low Pass,,,,,,,,,,,From Throw In
8658,France,Benjamin Pavard,Kylian Mbappé Lottin,26,38,1,"[70.0, 71.0]","[104.0, 76.0]",34.36568,0.14601226,Ground Pass,,,,,,Incomplete,,,,True,From Throw In
8658,France,Benjamin Pavard,Paul Pogba,29,17,1,"[98.0, 79.0]","[101.0, 72.0]",7.615773,-1.1659045,Low Pass,Throw-in,,,,,Incomplete,,,,,From Throw In
8658,France,Benjamin Pavard,Olivier Giroud,29,36,1,"[110.0, 80.0]","[111.0, 62.0]",18.027756,-1.5152978,High Pass,Throw-in,,,,,,,,,,From Throw In
8658,France,Raphaël Varane,Hugo Lloris,29,44,1,"[69.0, 44.0]","[16.0, 41.0]",53.08484,-3.0850492,Ground Pass,,,,,,,,,,True,From Throw In
8658,France,Hugo Lloris,Benjamin Pavard,29,49,1,"[18.0, 43.0]","[70.0, 74.0]",60.53924,0.5375866,High Pass,,,,,,,,,,,From Throw In
8658,France,Benjamin Pavard,Kylian Mbappé Lottin,29,51,1,"[70.0, 74.0]","[91.0, 56.0]",27.658634,-0.7086263,High Pass,,,,,,Pass Offside,,,,,From Throw In
8658,France,Lucas Hernández Pi,Paul Pogba,30,38,1,"[23.0, 2.0]","[36.0, 8.0]",14.3178215,0.43240777,High Pass,Throw-in,,,,,,,,,,From Throw In
8658,France,Paul Pogba,Antoine Griezmann,30,40,1,"[37.0, 8.0]","[46.0, 20.0]",15.0,0.9272952,Low Pass,,,,,,,,,,,From Throw In
8658,France,Lucas Hernández Pi,Olivier Giroud,31,33,1,"[16.0, 1.0]","[33.0, 2.0]",17.029387,0.058755822,High Pass,Throw-in,,,,,Incomplete,,,,,From Throw In
8658,France,Lucas Hernández Pi,Olivier Giroud,31,49,1,"[35.0, 2.0]","[55.0, 3.0]",20.024984,0.049958397,High Pass,Throw-in,,,,,,,,,,From Throw In
8658,France,Blaise Matuidi,,32,5,1,"[53.0, 2.0]","[56.0, 1.0]",3.1622777,-0.32175055,Low Pass,Recovery,,,,,Out,,,,True,Regular Play
8658,France,Hugo Lloris,Kylian Mbappé Lottin,32,40,1,"[18.0, 39.0]","[89.0, 58.0]",73.4983,0.2614788,High Pass,,,,,,Incomplete,,,,,From Keeper
8658,France,Antoine Griezmann,,33,35,1,"[120.0, 79.0]","[118.0, 49.0]",30.066593,-1.6373645,High Pass,Corner,,,,,Unknown,,,,,From Corner
8658,France,Hugo Lloris,Olivier Giroud,39,42,1,"[15.0, 51.0]","[75.0, 60.0]",60.671246,0.14888994,High Pass,,,,,,,,,,,Regular Play
8658,France,Olivier Giroud,Kylian Mbappé Lottin,39,45,1,"[74.0, 60.0]","[73.0, 77.0]",17.029387,1.6295521,High Pass,,,,,,,,,,True,Regular Play
8658,France,Kylian Mbappé Lottin,,39,53,1,"[119.0, 75.0]","[108.0, 48.0]",29.15476,-1.957672,Ground Pass,,True,True,,,Incomplete,,,,,Regular Play
8658,France,Benjamin Pavard,,41,36,1,"[28.0, 49.0]","[77.0, 55.0]",49.365982,0.12184244,Low Pass,,,,,,Incomplete,,,,,Regular Play
8658,France,Hugo Lloris,,45,56,1,"[7.0, 45.0]","[68.0, 46.0]",61.008198,0.016391974,High Pass,Goal Kick,,,,,Incomplete,,,,,From Goal Kick
8658,France,Raphaël Varane,Antoine Griezmann,46,5,1,"[42.0, 38.0]","[56.0, 29.0]",16.643316,-0.57133746,Ground Pass,Recovery,,,,,,,,,,Regular Play
8658,France,Antoine Griezmann,Blaise Matuidi,46,7,1,"[52.0, 29.0]","[48.0, 32.0]",5.0,2.4980915,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Blaise Matuidi,Samuel Yves Umtiti,46,8,1,"[48.0, 32.0]","[38.0, 34.0]",10.198039,2.9441972,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Samuel Yves Umtiti,Paul Pogba,46,10,1,"[38.0, 34.0]","[65.0, 51.0]",31.906113,0.56192154,High Pass,,,,,,,,,,,Regular Play
8658,France,Hugo Lloris,Olivier Giroud,46,35,1,"[18.0, 34.0]","[97.0, 47.0]",80.06248,0.1630953,High Pass,,,,,,,,,,,Regular Play
8658,France,Olivier Giroud,Lucas Hernández Pi,47,6,1,"[70.0, 22.0]","[70.0, 28.0]",6.0,1.5707964,Ground Pass,Recovery,,,,,,,,,,Regular Play
8658,France,Lucas Hernández Pi,Kylian Mbappé Lottin,47,9,1,"[80.0, 38.0]","[120.0, 61.0]",46.141087,0.52183425,Ground Pass,,,,,,Out,,,,,Regular Play
