match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_cross,pass_cut_back,pass_switch,pass_deflected,pass_outcome,pass_shot_assist,pass_assisted_shot_id,under_pressure,play_pattern
7563,France,Antoine Griezmann,Steven N''Kemboanza Mike Christopher Nzonzi,0,0,1,"[61.0, 40.0]","[45.0, 37.0]",16.27882,-2.9562447,Ground Pass,Kick Off,,,,,,,,,From Kick Off
7563,France,Steven N''Kemboanza Mike Christopher Nzonzi,Raphaël Varane,0,3,1,"[44.0, 38.0]","[34.0, 51.0]",16.40122,2.226492,Ground Pass,,,,,,,,,True,From Kick Off
7563,France,Raphaël Varane,Djibril Sidibé,0,5,1,"[33.0, 55.0]","[39.0, 79.0]",24.738634,1.3258177,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Djibril Sidibé,Raphaël Varane,0,6,1,"[38.0, 78.0]","[32.0, 68.0]",11.661903,-2.1112158,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Raphaël Varane,Presnel Kimpembe,0,10,1,"[32.0, 66.0]","[33.0, 32.0]",34.0147,-1.541393,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Presnel Kimpembe,Raphaël Varane,0,15,1,"[40.0, 28.0]","[40.0, 50.0]",22.0,1.5707964,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Raphaël Varane,Djibril Sidibé,0,20,1,"[54.0, 60.0]","[55.0, 78.0]",18.027756,1.5152978,Ground Pass,,,,,,,,,True,From Kick Off
7563,France,Djibril Sidibé,Raphaël Varane,0,24,1,"[54.0, 79.0]","[42.0, 75.0]",12.649111,-2.819842,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Raphaël Varane,Presnel Kimpembe,0,27,1,"[43.0, 76.0]","[42.0, 41.0]",35.014282,-1.59936,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Presnel Kimpembe,Steven N''Kemboanza Mike Christopher Nzonzi,0,29,1,"[44.0, 37.0]","[55.0, 30.0]",13.038404,-0.5667292,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Steven N''Kemboanza Mike Christopher Nzonzi,Presnel Kimpembe,0,30,1,"[54.0, 30.0]","[42.0, 28.0]",12.165525,-2.976444,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Presnel Kimpembe,Lucas Hernández Pi,0,34,1,"[55.0, 15.0]","[76.0, 2.0]",24.698177,-0.5543075,Ground Pass,,,,,,,,,True,From Kick Off
7563,France,Lucas Hernández Pi,Thomas Lemar,0,37,1,"[80.0, 3.0]","[79.0, 15.0]",12.0415945,1.6539376,Ground Pass,,,,,,,,,True,From Kick Off
7563,France,Thomas Lemar,N''Golo Kanté,0,40,1,"[80.0, 14.0]","[65.0, 35.0]",25.806976,2.1910458,Ground Pass,,,,,,,,,True,From Kick Off
7563,France,N''Golo Kanté,Djibril Sidibé,0,44,1,"[72.0, 48.0]","[83.0, 80.0]",33.83785,1.2397002,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Djibril Sidibé,Ousmane Dembélé,0,46,1,"[84.0, 79.0]","[84.0, 72.0]",7.0,-1.5707964,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Ousmane Dembélé,Djibril Sidibé,0,47,1,"[84.0, 74.0]","[77.0, 79.0]",8.602325,2.5213432,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Djibril Sidibé,N''Golo Kanté,0,50,1,"[71.0, 79.0]","[73.0, 67.0]",12.165525,-1.4056476,Ground Pass,,,,,,,,,True,From Kick Off
7563,France,N''Golo Kanté,Raphaël Varane,0,51,1,"[70.0, 70.0]","[55.0, 58.0]",19.209373,-2.4668517,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Raphaël Varane,Presnel Kimpembe,0,54,1,"[55.0, 54.0]","[58.0, 33.0]",21.213203,-1.4288993,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Presnel Kimpembe,Steven N''Kemboanza Mike Christopher Nzonzi,0,57,1,"[59.0, 32.0]","[69.0, 37.0]",11.18034,0.4636476,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Steven N''Kemboanza Mike Christopher Nzonzi,Presnel Kimpembe,0,59,1,"[66.0, 34.0]","[65.0, 16.0]",18.027756,-1.6262949,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Presnel Kimpembe,Lucas Hernández Pi,1,1,1,"[65.0, 15.0]","[82.0, 2.0]",21.400934,-0.65284663,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Lucas Hernández Pi,Presnel Kimpembe,1,4,1,"[79.0, 3.0]","[63.0, 4.0]",16.03122,3.0791738,Ground Pass,,,,,,,,,True,From Kick Off
7563,France,Presnel Kimpembe,Steve Mandanda,1,6,1,"[59.0, 4.0]","[24.0, 28.0]",42.43819,2.540519,Ground Pass,,,,,,,,,True,From Kick Off
7563,France,Steve Mandanda,Raphaël Varane,1,11,1,"[25.0, 31.0]","[31.0, 62.0]",31.575306,1.3796118,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Raphaël Varane,N''Golo Kanté,1,16,1,"[52.0, 66.0]","[58.0, 62.0]",7.2111025,-0.5880026,Ground Pass,,,,,,,,,,From Kick Off
7563,France,N''Golo Kanté,Ousmane Dembélé,1,18,1,"[59.0, 66.0]","[72.0, 79.0]",18.384777,0.7853982,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Ousmane Dembélé,N''Golo Kanté,1,22,1,"[77.0, 79.0]","[68.0, 71.0]",12.0415945,-2.4149504,Ground Pass,,,,,,,,,,From Kick Off
7563,France,N''Golo Kanté,Djibril Sidibé,1,25,1,"[70.0, 70.0]","[65.0, 79.0]",10.29563,2.077895,Ground Pass,,,,,,,,,True,From Kick Off
7563,France,Djibril Sidibé,Antoine Griezmann,1,27,1,"[66.0, 79.0]","[79.0, 73.0]",14.3178215,-0.43240777,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Antoine Griezmann,Ousmane Dembélé,1,28,1,"[79.0, 78.0]","[89.0, 79.0]",10.049875,0.09966865,Ground Pass,,,,,,,,,True,From Kick Off
7563,France,Ousmane Dembélé,,1,32,1,"[88.0, 78.0]","[85.0, 77.0]",3.1622777,-2.819842,Ground Pass,,,,,,Incomplete,,,True,From Kick Off
7563,France,N''Golo Kanté,Ousmane Dembélé,1,34,1,"[77.0, 76.0]","[81.0, 77.0]",4.1231055,0.24497867,Ground Pass,Recovery,,,,,Incomplete,,,,From Kick Off
7563,France,Ousmane Dembélé,Antoine Griezmann,1,37,1,"[85.0, 77.0]","[88.0, 79.0]",3.6055512,0.5880026,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Antoine Griezmann,Djibril Sidibé,1,40,1,"[87.0, 79.0]","[107.0, 79.0]",20.0,0.0,Ground Pass,,,,,,,,,,From Kick Off
7563,France,Djibril Sidibé,,1,42,1,"[109.0, 79.0]","[111.0, 45.0]",34.058773,-1.5120405,Ground Pass,,True,,,,Incomplete,,,,From Kick Off
7563,France,N''Golo Kanté,Thomas Lemar,2,38,1,"[29.0, 37.0]","[36.0, 28.0]",11.401754,-0.90975314,Low Pass,Recovery,,,,,,,,,From Free Kick
7563,France,Thomas Lemar,,2,40,1,"[37.0, 29.0]","[56.0, 57.0]",33.83785,0.97459716,High Pass,,,,,,Incomplete,,,,From Free Kick
7563,France,Presnel Kimpembe,,3,12,1,"[25.0, 20.0]","[21.0, 15.0]",6.4031243,-2.2455373,High Pass,Recovery,,,,,Incomplete,,,True,From Free Kick
7563,France,Presnel Kimpembe,Lucas Hernández Pi,3,20,1,"[3.0, 23.0]","[8.0, 11.0]",13.0,-1.1760052,Ground Pass,,,,,,,,,True,Regular Play
7563,France,Steve Mandanda,Olivier Giroud,4,1,1,"[10.0, 15.0]","[69.0, 7.0]",59.5399,-0.13477129,High Pass,Free Kick,,,,,,,,,From Free Kick
7563,France,Olivier Giroud,Antoine Griezmann,4,5,1,"[69.0, 6.0]","[81.0, 16.0]",15.6205,0.69473827,Low Pass,,,,,,,,,,From Free Kick
7563,France,Antoine Griezmann,Olivier Giroud,4,6,1,"[80.0, 14.0]","[78.0, 9.0]",5.3851647,-1.9513026,Low Pass,,,,,,Incomplete,,,True,From Free Kick
7563,France,Steven N''Kemboanza Mike Christopher Nzonzi,,4,9,1,"[69.0, 10.0]","[96.0, 1.0]",28.460499,-0.32175055,High Pass,Interception,,,,,Out,,,,Regular Play
7563,France,Steven N''Kemboanza Mike Christopher Nzonzi,Thomas Lemar,4,25,1,"[63.0, 7.0]","[71.0, 1.0]",10.0,-0.6435011,Low Pass,Recovery,,,,,Out,,,True,From Throw In
7563,France,Djibril Sidibé,Steve Mandanda,4,38,1,"[27.0, 40.0]","[10.0, 42.0]",17.117243,3.024484,Ground Pass,Recovery,,,,,,,,,From Throw In
7563,France,Steve Mandanda,,4,43,1,"[9.0, 40.0]","[62.0, 44.0]",53.15073,0.075328894,High Pass,,,,,,Incomplete,,,True,From Throw In
7563,France,Djibril Sidibé,Ousmane Dembélé,4,54,1,"[68.0, 80.0]","[80.0, 80.0]",12.0,0.0,Ground Pass,,,,,,,,,,Regular Play
7563,France,Ousmane Dembélé,Djibril Sidibé,4,56,1,"[76.0, 79.0]","[66.0, 79.0]",10.0,3.1415927,Ground Pass,,,,,,,,,,Regular Play
7563,France,Djibril Sidibé,Antoine Griezmann,4,56,1,"[67.0, 79.0]","[88.0, 79.0]",21.0,0.0,High Pass,,,,,,,,,,Regular Play
7563,France,Antoine Griezmann,Raphaël Varane,5,0,1,"[79.0, 79.0]","[57.0, 76.0]",22.203604,-3.006065,Ground Pass,,,,,,,,,True,Regular Play
7563,France,Raphaël Varane,Lucas Hernández Pi,5,4,1,"[63.0, 74.0]","[90.0, 13.0]",66.70832,-1.1540941,High Pass,,,,True,,Incomplete,,,,Regular Play
7563,France,Djibril Sidibé,Ousmane Dembélé,6,28,1,"[41.0, 79.0]","[58.0, 79.0]",17.0,0.0,Ground Pass,,,,,,,,,,Regular Play
7563,France,Ousmane Dembélé,Djibril Sidibé,6,30,1,"[56.0, 80.0]","[42.0, 79.0]",14.035668,-3.070285,Ground Pass,,,,,,,,,True,Regular Play
7563,France,Djibril Sidibé,Raphaël Varane,6,32,1,"[42.0, 78.0]","[38.0, 68.0]",10.770329,-1.9513026,Ground Pass,,,,,,,,,,Regular Play
7563,France,Raphaël Varane,Presnel Kimpembe,6,34,1,"[40.0, 60.0]","[42.0, 27.0]",33.06055,-1.5102643,Ground Pass,,,,,,,,,,Regular Play
7563,France,Presnel Kimpembe,Lucas Hernández Pi,6,38,1,"[48.0, 24.0]","[72.0, 2.0]",32.55764,-0.7419473,Ground Pass,,,,,,,,,,Regular Play
