match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_technique,pass_cross,pass_cut_back,pass_switch,pass_through_ball,pass_deflected,pass_outcome,pass_shot_assist,pass_assisted_shot_id,under_pressure,play_pattern
7546,France,Antoine Griezmann,Raphaël Varane,0,0,1,"[60.0, 41.0]","[28.0, 38.0]",32.140316,-3.048116,Ground Pass,Kick Off,,,,,,,,,,,From Kick Off
7546,France,Raphaël Varane,Olivier Giroud,0,0,1,"[26.0, 38.0]","[85.0, 56.0]",61.68468,0.29611516,High Pass,,,,,,,,,,,,From Kick Off
7546,France,Olivier Giroud,Antoine Griezmann,0,2,1,"[85.0, 56.0]","[86.0, 52.0]",4.1231055,-1.3258177,Low Pass,,,,,,,,Incomplete,,,,From Kick Off
7546,France,Benjamin Pavard,Raphaël Varane,0,13,1,"[56.0, 80.0]","[33.0, 71.0]",24.698177,-2.768605,Low Pass,Throw-in,,,,,,,,,,,From Throw In
7546,France,Raphaël Varane,Samuel Yves Umtiti,0,16,1,"[32.0, 67.0]","[32.0, 23.0]",44.0,-1.5707964,Ground Pass,,,,,True,,,,,,,From Throw In
7546,France,Samuel Yves Umtiti,Raphaël Varane,0,20,1,"[35.0, 24.0]","[37.0, 56.0]",32.06244,1.5083776,Ground Pass,,,,,,,,,,,,From Throw In
7546,France,Raphaël Varane,Antoine Griezmann,0,24,1,"[45.0, 62.0]","[70.0, 77.0]",29.15476,0.5404195,Ground Pass,,,,,,,,,,,,From Throw In
7546,France,Antoine Griezmann,Benjamin Pavard,0,25,1,"[70.0, 77.0]","[49.0, 75.0]",21.095022,-3.0466409,Ground Pass,,,,,,,,,,,True,From Throw In
7546,France,Benjamin Pavard,N''Golo Kanté,0,27,1,"[49.0, 74.0]","[54.0, 61.0]",13.928389,-1.2036225,Ground Pass,,,,,,,,,,,,From Throw In
7546,France,N''Golo Kanté,Raphaël Varane,0,28,1,"[54.0, 61.0]","[38.0, 62.0]",16.03122,3.0791738,Ground Pass,,,,,,,,,,,True,From Throw In
7546,France,Raphaël Varane,Olivier Giroud,0,32,1,"[85.0, 61.0]","[82.0, 58.0]",4.2426405,-2.3561945,High Pass,,,,,,,,Incomplete,,,,From Throw In
7546,France,Kylian Mbappé Lottin,N''Golo Kanté,0,51,1,"[76.0, 70.0]","[70.0, 73.0]",6.708204,2.6779451,Ground Pass,,,,,,,,Incomplete,,,,Regular Play
7546,France,Paul Pogba,Kylian Mbappé Lottin,1,27,1,"[16.0, 9.0]","[32.0, 36.0]",31.38471,1.0358412,High Pass,Recovery,,,,,,,Incomplete,,,,From Throw In
7546,France,Kylian Mbappé Lottin,N''Golo Kanté,1,32,1,"[29.0, 45.0]","[24.0, 40.0]",7.071068,-2.3561945,Low Pass,Recovery,,,,,,,Incomplete,,,,From Throw In
7546,France,Antoine Griezmann,Olivier Giroud,1,34,1,"[32.0, 37.0]","[45.0, 35.0]",13.152946,-0.15264933,Ground Pass,Recovery,,,,,,,Incomplete,,,,From Throw In
7546,France,N''Golo Kanté,Blaise Matuidi,1,53,1,"[10.0, 22.0]","[10.0, 14.0]",8.0,-1.5707964,Ground Pass,Interception,,,,,,,,,,,Regular Play
7546,France,Benjamin Pavard,Kylian Mbappé Lottin,2,54,1,"[10.0, 70.0]","[12.0, 76.0]",6.3245554,1.2490457,Low Pass,Interception,,,,,,,,,,,Regular Play
7546,France,Benjamin Pavard,N''Golo Kanté,3,17,1,"[24.0, 77.0]","[31.0, 62.0]",16.552946,-1.1341692,Ground Pass,,,,,,,,,,,,Regular Play
7546,France,N''Golo Kanté,Benjamin Pavard,3,23,1,"[47.0, 61.0]","[46.0, 77.0]",16.03122,1.6332152,Ground Pass,,,,,,,,,,,,Regular Play
7546,France,Benjamin Pavard,Kylian Mbappé Lottin,3,26,1,"[50.0, 77.0]","[65.0, 76.0]",15.033297,-0.066568166,Ground Pass,,,,,,,,,,,,Regular Play
