match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_cross,pass_cut_back,pass_switch,pass_deflected,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
8649,France,Benjamin Pavard,Raphaël Varane,0,14,1,"[55.0, 80.0]","[32.0, 78.0]",23.086792,-3.0548544,Low Pass,Throw-in,,,,,,,,,,From Throw In
8649,France,Raphaël Varane,Benjamin Pavard,0,21,1,"[33.0, 72.0]","[41.0, 79.0]",10.630146,0.71883,Ground Pass,,,,,,,,,,,From Throw In
8649,France,Benjamin Pavard,Kylian Mbappé Lottin,0,23,1,"[43.0, 79.0]","[55.0, 79.0]",12.0,0.0,Ground Pass,,,,,,,,,,True,From Throw In
8649,France,Kylian Mbappé Lottin,Antoine Griezmann,0,27,1,"[66.0, 63.0]","[68.0, 51.0]",12.165525,-1.4056476,Ground Pass,,,,,,,,,,,From Throw In
8649,France,Antoine Griezmann,Kylian Mbappé Lottin,0,27,1,"[67.0, 51.0]","[69.0, 55.0]",4.472136,1.1071488,Ground Pass,,,,,,Incomplete,,,,,From Throw In
8649,France,N''Golo Kanté,Olivier Giroud,0,29,1,"[58.0, 56.0]","[79.0, 71.0]",25.806976,0.6202495,Low Pass,Recovery,,,,,,,,,,From Throw In
8649,France,Olivier Giroud,Benjamin Pavard,0,30,1,"[79.0, 70.0]","[66.0, 77.0]",14.764823,2.6476512,Ground Pass,,,,,,,,,,,From Throw In
8649,France,Benjamin Pavard,N''Golo Kanté,0,32,1,"[65.0, 75.0]","[65.0, 65.0]",10.0,-1.5707964,Ground Pass,,,,,,,,,,,From Throw In
8649,France,N''Golo Kanté,Samuel Yves Umtiti,0,37,1,"[56.0, 78.0]","[47.0, 42.0]",37.107952,-1.815775,Ground Pass,,,,,,,,,,True,From Throw In
8649,France,Samuel Yves Umtiti,Lucas Hernández Pi,0,41,1,"[53.0, 31.0]","[64.0, 7.0]",26.400757,-1.141034,Ground Pass,,,,,,,,,,,From Throw In
8649,France,Lucas Hernández Pi,Corentin Tolisso,0,45,1,"[67.0, 3.0]","[62.0, 5.0]",5.3851647,2.7610862,Ground Pass,,,,,,,,,,True,From Throw In
8649,France,Corentin Tolisso,Samuel Yves Umtiti,0,47,1,"[61.0, 6.0]","[42.0, 11.0]",19.646883,2.884269,Ground Pass,,,,,,,,,,,From Throw In
8649,France,Samuel Yves Umtiti,Lucas Hernández Pi,0,54,1,"[56.0, 9.0]","[73.0, 2.0]",18.384777,-0.39060703,Ground Pass,,,,,,,,,,,From Throw In
