match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_cross,pass_switch,pass_deflected,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern,source_file,pass_technique,pass_through_ball,pass_cut_back
7580,France,Antoine Griezmann,Raphaël Varane,0,1,1,"[60.0, 42.0]","[33.0, 55.0]",29.966648,2.6928694,Ground Pass,Kick Off,,,,,,,,,From Kick Off,ArgentinaFR.csv,,,
7580,France,Raphaël Varane,,0,6,1,"[40.0, 53.0]","[87.0, 65.0]",48.507732,0.24997862,High Pass,,,,,Unknown,,,,,From Kick Off,ArgentinaFR.csv,,,
7580,France,Paul Pogba,Kylian Mbappé Lottin,0,50,1,"[37.0, 55.0]","[45.0, 75.0]",21.540659,1.19029,Low Pass,,,,,,,,,,Regular Play,ArgentinaFR.csv,,,
7580,France,Kylian Mbappé Lottin,Benjamin Pavard,0,52,1,"[47.0, 75.0]","[28.0, 73.0]",19.104973,-3.0367157,High Pass,,,,,,,,,,Regular Play,ArgentinaFR.csv,,,
7580,France,Benjamin Pavard,Hugo Lloris,0,54,1,"[26.0, 67.0]","[8.0, 44.0]",29.206163,-2.2348425,Ground Pass,,,,,,,,,,Regular Play,ArgentinaFR.csv,,,
7580,France,Hugo Lloris,Samuel Yves Umtiti,0,59,1,"[8.0, 42.0]","[12.0, 21.0]",21.377558,-1.3825748,Ground Pass,,,,,,,,,,Regular Play,ArgentinaFR.csv,,,
7580,France,Samuel Yves Umtiti,Raphaël Varane,1,3,1,"[21.0, 25.0]","[24.0, 55.0]",30.149628,1.4711276,Ground Pass,,,,,,,,,,Regular Play,ArgentinaFR.csv,,,
7580,France,Raphaël Varane,Benjamin Pavard,1,8,1,"[34.0, 63.0]","[49.0, 77.0]",20.518284,0.75092906,Ground Pass,,,,,,,,,,Regular Play,ArgentinaFR.csv,,,
7580,France,Benjamin Pavard,Kylian Mbappé Lottin,1,10,1,"[48.0, 78.0]","[62.0, 74.0]",14.56022,-0.27829966,Ground Pass,,,,,,,,,,Regular Play,ArgentinaFR.csv,,,
7580,France,Kylian Mbappé Lottin,Paul Pogba,1,14,1,"[57.0, 66.0]","[54.0, 59.0]",7.615773,-1.9756881,Ground Pass,,,,,,,,,True,Regular Play,ArgentinaFR.csv,,,
7580,France,Paul Pogba,Benjamin Pavard,1,17,1,"[53.0, 77.0]","[58.0, 80.0]",5.8309517,0.5404195,Ground Pass,,,,,Out,,,,True,Regular Play,ArgentinaFR.csv,,,
7580,France,N''Golo Kanté,Kylian Mbappé Lottin,1,52,1,"[56.0, 41.0]","[62.0, 54.0]",14.3178215,1.1383885,Low Pass,,,,,,,,,,Regular Play,ArgentinaFR.csv,,,
7580,France,Paul Pogba,Antoine Griezmann,2,24,1,"[56.0, 37.0]","[60.0, 38.0]",4.1231055,0.24497867,Ground Pass,Recovery,,,,Incomplete,,,,True,Regular Play,ArgentinaFR.csv,,,
