Source,Target,pass_category,Weight,failed_passes,recovery_interception_pass,total_passes,assist_count,label
Antoine Griezmann,Benjamin Pavard,Free Kick,2,0,0,2,0,Free Kick
Antoine Griezmann,Benjamin Pavard,Regular pass,15,4,1,19,0,Regular pass
Antoine Griezmann,Benjamin Pavard,Switch of play,1,0,0,1,0,Switch of play
Antoine Griezmann,Blaise Matuidi,Regular pass,10,2,0,12,0,Regular pass
Antoine Griezmann,Corentin Tolisso,Regular pass,10,2,0,12,0,Regular pass
Antoine Griezmann,Djibril Sidibé,Regular pass,5,0,0,5,0,Regular pass
Antoine Griezmann,Kylian Mbappé Lottin,Free Kick,2,0,0,2,0,Free Kick
Antoine Griezmann,Kylian Mbappé Lottin,Regular pass,17,10,3,27,0,Regular pass
Antoine Griezmann,Kylian Mbappé Lottin,Throw-in,2,0,0,2,0,Throw-in
Antoine Griezmann,Lucas Hernández Pi,Assist,1,0,0,1,1,Assist
Antoine Griezmann,Lucas Hernández Pi,Regular pass,18,2,1,20,0,Regular pass
Antoine Griezmann,Lucas Hernández Pi,Switch of play,2,1,0,3,0,Switch of play
Antoine Griezmann,N''Golo Kanté,Regular pass,11,0,0,11,0,Regular pass
Antoine Griezmann,Nabil Fekir,Regular pass,1,0,0,1,0,Regular pass
Antoine Griezmann,Olivier Giroud,Assist,2,0,0,2,2,Assist
Antoine Griezmann,Olivier Giroud,Regular pass,5,10,1,15,0,Regular pass
Antoine Griezmann,Ousmane Dembélé,Regular pass,5,2,0,7,0,Regular pass
Antoine Griezmann,Paul Pogba,Assist,2,0,0,2,2,Assist
Antoine Griezmann,Paul Pogba,Regular pass,27,1,1,28,0,Regular pass
Antoine Griezmann,Raphaël Varane,Assist,2,0,0,2,2,Assist
Antoine Griezmann,Raphaël Varane,Free Kick,1,0,0,1,0,Free Kick
Antoine Griezmann,Raphaël Varane,Regular pass,9,0,0,9,0,Regular pass
Antoine Griezmann,Samuel Yves Umtiti,Assist,1,0,0,1,1,Assist
Antoine Griezmann,Samuel Yves Umtiti,Regular pass,2,0,1,2,0,Regular pass
Antoine Griezmann,Steven N''Kemboanza Mike Christopher Nzonzi,Regular pass,10,0,1,10,0,Regular pass
Antoine Griezmann,Thomas Lemar,Regular pass,8,3,0,11,0,Regular pass
Benjamin Mendy,N''Golo Kanté,Regular pass,1,0,1,1,0,Regular pass
Benjamin Mendy,N''Golo Kanté,Switch of play,1,0,0,1,0,Switch of play
Benjamin Mendy,Olivier Giroud,Assist,1,0,0,1,1,Assist
Benjamin Mendy,Olivier Giroud,Regular pass,2,1,0,3,0,Regular pass
Benjamin Mendy,Ousmane Dembélé,Regular pass,3,0,0,3,0,Regular pass
Benjamin Mendy,Presnel Kimpembe,Regular pass,3,0,0,3,0,Regular pass
Benjamin Mendy,Presnel Kimpembe,Throw-in,1,0,0,1,0,Throw-in
Benjamin Mendy,Steven N''Kemboanza Mike Christopher Nzonzi,Regular pass,2,0,0,2,0,Regular pass
Benjamin Mendy,Steven N''Kemboanza Mike Christopher Nzonzi,Throw-in,1,0,0,1,0,Throw-in
Benjamin Mendy,Thomas Lemar,Regular pass,10,0,0,10,0,Regular pass
Benjamin Pavard,Antoine Griezmann,Regular pass,12,6,3,18,0,Regular pass
Benjamin Pavard,Antoine Griezmann,Throw-in,1,0,0,1,0,Throw-in
Benjamin Pavard,Corentin Tolisso,Regular pass,17,1,0,18,0,Regular pass
Benjamin Pavard,Corentin Tolisso,Throw-in,2,0,0,2,0,Throw-in
Benjamin Pavard,Hugo Lloris,Regular pass,12,0,5,12,0,Regular pass
